,provinces,kmeans,louvain,greedy_modularity,weighted_greedy_modularity,leiden,weighted_leiden,leiden_wp,leiden_p,label_propagation,async_fluid10,async_fluid7,rb_pots,rber_pots,angel,demon
ERDOS_RENYI_MODULARITY,0.04581116616368504,0.029764104573784516,0.036574947326543684,0.0,0.0,0.003429089527164503,0.0019162848915685491,0.002330888252150414,0.0037835965638288544,-0.001593962654794282,0.02627573150237818,0.026083695215386206,0.0028714062214517913,0.0020352618687976463,0.003983712078275315,0.07354564574761802
LINK_MODULARITY,,,,,,,,,,,,,,,,
MODULARITY_DENSITY,-125.32107955982345,-137.16687446266135,-236.07032699261075,18.215823501966273,-273292.0,-194.82822156026836,-267.58664324076074,-268.01206419152754,-225.2476405507053,-1817.373527364987,-136.0995312233553,-84.5548414437005,-138.9165307292181,-14564.936374601415,-86.5916104400111,-2291.2604062088826
NEWMAN_GIRVAN_MODULARITY,0.11482229736580758,0.08106636244171779,0.08488978919865445,0.0,-0.00019931806934218708,0.01349548168849799,0.01134326305997521,0.016332908733695355,0.016611757997067742,0.0020221174759258755,0.06057728928526144,0.06975035903900254,0.01606649965299804,0.0032948813341041475,-0.2692342338961387,0.0032687843968022437
Z_MODULARITY,0.13340534842897425,0.0896614869192798,0.10771844325669011,,-0.010676605112253585,0.009390174328962452,0.008091947712143407,0.006533923711684675,0.012149593118947147,0.0034356168488820257,0.08104855341549823,0.07379159616532638,0.004875690645257487,0.0021446739274963416,0.0006563603468332003,0.1474043396981238
