,angel,async_fluid_5,async_fluid_7,best_demon,demon,greedy_modularity,kmeans,label_propagation,leiden,leiden_p,leiden_wp,louvain,multicore,provinces,rber_pots,rb_pots,weighted_greedy_modularity,weighted_leiden,weighted_louvain,weighted_rb_pots,cusines
AVG_EMBEDDEDNESS,0.2292892529416693,0.6474132275106634,0.6288728811292638,0.0712791847497833,0.3874512769859221,0.7660735165352626,0.5897501979047435,0.5933040659443446,0.1105663918183251,0.0925903160768561,0.08822939940789,0.6990090180936341,0.5713669618827244,0.6018285059398722,0.0069716079908912,0.1181423390785034,0.7660735165352626,0.0917094953316406,0.701912718844394,0.1125438239518552,0.039557648057832996
AVERAGE_INTERNAL_DEGREE,4.556168156895459,11.445435174315866,11.101578617976283,1.0622186761098182,12.889439528859402,2.990350430357994,10.462892860709111,2.273236398947369,1.629296899406654,1.3703153804336927,1.302677384588778,13.09713924660422,9.523393713838436,10.778917173743327,0.0554734131031183,1.7612512950364925,2.990350430357994,1.3432813271930342,11.036344473525968,1.7297717762934566,0.6476245814910729
AVG_TRANSITIVITY,0.0868322881584151,0.1969376655826485,0.2037991217954421,0.0566254344524742,0.603479558319991,0.0457633298269139,0.1708783370279783,0.1112937506333257,0.0797968212578587,0.0617565973630164,0.0575986871101586,0.3203135706840991,0.1625374595526413,0.1684550599533796,0.0029044985760346,0.0742924638625472,0.0457633298269139,0.0696059250107432,0.2636148071127278,0.0629207621546434,0.025995368339761783
CONDUCTANCE,0.7758087786055624,0.3684645929364617,0.3878939827781993,0.9435088752709188,0.6219614815165293,0.3048839390618371,0.4425117148336882,0.4879779588267404,0.9070989653722532,0.9216510105587068,0.926124446692948,0.3274949588993304,0.479561665059565,0.4251295714218518,0.9957148285568193,0.8992600543356883,0.3048839390618371,0.9237411963892392,0.3256049002618815,0.9009266898213132,0.9629319830561098
CUT_RATIO,0.0013600165797328,0.0005516442037484,0.0005219090438886,0.0012436209180497,0.0014075396639502,6.483327822689783e-05,0.0006011225166933,0.0001363643271333,0.0011422087964309,0.0010691408795575,0.0010843922728694,0.0004401074473692,0.0007819825492984,0.0005797370786726,0.0007136765333719,0.001147505248951,6.483327822689783e-05,0.0010802971866719,0.0003863040791004,0.001135548804329,0.0010869062514785052
EDGES_INSIDE,17277.666666666668,17392.2,12277.57142857143,508.64772727272725,2231.6272727272726,1956.6567164179105,7980.8,155.57894736842104,1046.1176470588234,1004.3,947.4285714285714,4168.809523809524,17808.25,8012.7,121.00628140703516,1685.8666666666666,1956.6567164179105,777.1904761904761,4188.333333333333,2116.0666666666666,1307.909090909091
EXPANSION,17.348967701571908,6.61497804864717,6.698830499064984,17.86639728666704,20.67838871561528,0.9420731356446722,8.149616261362443,2.033811376896509,16.10492539599649,15.170719821389534,15.438974619996236,6.261092823673541,8.787620657064842,7.836482512547528,10.693508860468244,16.063637466929876,0.9420731356446722,15.372689512008517,5.455560150924497,15.890722564165978,15.876104105174868
FRACTION_OVER_MEDIAN_DEGREE,0.2794022575011079,0.4780973298919293,0.4776055642248418,0.3582988198839265,0.4682500399397779,0.2401865179638359,0.4822758604145989,0.2028604310523754,0.3802103472197677,0.2762852795008313,0.2876617631344781,0.4713389208662726,0.4780904688173004,0.4800144610077713,0.019455092276617,0.3214865079576709,0.2401865179638359,0.3167371935064572,0.4542258716196025,0.3006133907945018,0.1453312853054087
HUB_DOMINANCE,0.031258371209626,0.026816600407074,0.033560315829282,0.0146337415315341,0.2651778842876647,0.8430934566902913,0.0472488073135342,0.924132165612356,0.0267427620104325,0.0206848977658803,0.0197337129108365,0.2680926661552573,0.0190549715364947,0.0467731938001515,,0.0222795775818822,0.8430934566902913,0.0338992189202109,0.2043651166092722,0.0332803391036656,
INTERNAL_EDGE_DENSITY,0.0008789145999942,0.0009511380775886,0.0012720042947454,0.0004408059830358,0.0232076254503267,0.1596866063748887,0.0023531211768232,0.1793210110696008,0.0007616734261133,0.0005537885769086,0.0007605303257411,0.0330525576277031,0.0006566813829661,0.0022774149954138,0.0015407749378833,0.0006082108330493,0.1596866063748887,0.0017831391053684,0.0218223478302858,0.0014247704706808,0.0012988777187511664
NORMALIZED_CUT,0.8678925062206736,0.4455268410494361,0.4432127395032447,0.981956134550216,0.6451140077439165,0.307563095470728,0.4851194477448702,0.4885740583835757,0.9549701468270946,0.9613653733243076,0.9640155390929556,0.3450447844700629,0.6004842707664201,0.4674016324138382,0.9962974170196162,0.9494497984741616,0.307563095470728,0.9631855462836796,0.3430413431109534,0.9478342674133194,0.9782616406831798
MAX_ODF,65.33333333333333,48.2,44.42857142857143,77.5909090909091,65.36818181818182,3.835820895522388,58.9,4.828522920203735,71.41176470588235,63.3,62.80952380952381,34.80952380952381,63.25,60.2,17.493718592964825,67.66666666666667,3.835820895522388,66.38095238095238,32.80952380952381,61.46666666666667,45.58181818181818
AVG_ODF,17.348967701571908,6.61497804864717,6.698830499064984,17.86639728666704,20.67838871561528,0.9420731356446722,8.149616261362443,2.033811376896509,16.10492539599649,15.170719821389534,15.438974619996236,6.261092823673541,8.787620657064842,7.836482512547528,10.693508860468244,16.063637466929876,0.9420731356446722,15.372689512008517,5.455560150924497,15.890722564165978,15.876104105174868
FLAKE_ODF,0.7122733157807843,0.2511214049821733,0.2802752953430448,0.970450721926996,0.7030001247279065,0.0627606830804072,0.3427878346977655,0.3086547400389232,0.9447203580540242,0.951429752418712,0.9546511017436826,0.2032386440891,0.3969098098273385,0.3106893384140902,0.9945769919764162,0.934565262568625,0.0627606830804072,0.95430423561938,0.196270577521116,0.9353912479708162,0.9752552257447886
SCALED_DENSITY,2.895389676495393,3.133313942890345,4.190336698796124,1.4521377761022511,76.45238700698228,526.0521916184553,7.751837053294068,590.733393475352,2.509164570532717,1.8243339325035908,2.5053988792846704,108.88433772478707,2.1632915154660064,7.502439789781643,5.075742113032945,2.003616013609689,526.0521916184553,5.874157236064495,71.88889640144127,4.693591063582071,4.27886524803046
SIGNIFICANCE,,397966.57826587313,421808.9734925168,,3347546.3649165737,,402579.0254630153,,67093.63415384256,,,496710.59698093525,295663.4052317353,408643.9386856163,,,,,494368.0959817263,,
SIZE,2727.0,3000.6,2143.285714285714,645.8295454545455,307.8772727272727,223.9253731343284,1500.3,25.47198641765705,882.5294117647059,750.15,714.4285714285714,714.4285714285714,3750.75,1500.3,18.847989949748744,1000.2,223.9253731343284,714.4285714285714,714.4285714285714,1000.2,396.7090909090909
SURPRISE,-2532.7824280911104,43489.94653437321,65066.07021495908,-2271.0846982578505,,36735.71592007527,58277.06728215988,74770.77951112443,-1192.8014288370607,-1322.8646505682304,-1315.8640505184462,109373.17479905528,8749.839423841422,61775.45701246686,1866.384436057809,-1599.3303055104543,36735.71592007527,-1105.6329491986808,108238.39141577116,-1848.7121698774547,634.4670453440772
TRIANGLE_PARTICIPATION_RATIO,0.3032102917025103,0.6758170926471544,0.6661231007207745,0.106210477271468,1.0,0.0691557954175989,0.6807265810277353,0.1556511144092095,0.1719064961300271,0.1439979489027073,0.1316811108579309,0.655541279899485,0.6235827671038552,0.679001632895845,0.0041856559783156,0.1801836876431818,0.0691557954175989,0.1424788956347782,0.5929803692523832,0.1686410122072552,0.059846746314208686
