,angel,async_fluid10,async_fluid7,demon,greedy_modularity,kmeans,label_propagation,leiden,leiden_p,leiden_wp,louvain,multicore,provinces,rber_pots,rb_pots,weighted_greedy_modularity,weighted_leiden
AVG_EMBEDDEDNESS,0.1098747262562138,0.5650348158399204,0.6337030734280823,0.4039550890370423,1.0,0.5981328709253376,0.6408531812498393,0.1090097158224337,0.1003719949701888,0.0861054327222222,0.6337860854951646,0.4759158281099897,0.6227473310876486,0.0039511548004122,0.139815537312034,4.30551967622492e-05,0.0813028056102095
AVERAGE_INTERNAL_DEGREE,2.4243929197645144,10.896708788255712,12.397300640686606,12.20135690487002,19.670778172424928,11.545679708552218,1.655246673333134,2.0513503890225646,1.856243272871592,1.6327966462037315,9.221981394318018,8.862761906070263,12.457665686524226,0.0397115688705876,2.6740020764748427,6.45827951433738e-05,1.5154526940033155
AVG_TRANSITIVITY,0.0963374500023552,0.1945199242223622,0.1714944630327345,0.4917598806475622,0.1084778404254035,0.1614722358577022,0.038772924253664,0.0739197968453072,0.0740107734801913,0.0629686330829527,0.1666796001012412,0.15284913108014195,0.1496382401206046,0.0009707533851214,0.0896220775832781,0.0,0.0629601433364002
CONDUCTANCE,0.8863466181856152,0.4476230365370183,0.3726314821676333,0.6077662988555239,0.0,0.4250702307993273,0.4069546707319774,0.896750419694292,0.905780444594488,0.917190949387132,0.3986934154371705,0.552552413344067,0.3887562090921306,0.9974174908067368,0.8656672524541417,0.9999677086024285,0.9239028315771451
CUT_RATIO,0.0014567249416753,0.0006219862887069,0.0005470821940783,0.0012616564105909,0.0,0.0005991531035285,6.585973659441199e-05,0.00116238501197,0.0011307614153436,0.0011311899867364,0.0003779679254788,0.0008426925037349509,0.0005510727304662,0.0006433386712036,0.0011480693988847,0.0012704633700624,0.0011045881858487
EDGES_INSIDE,9585.333333333334,8531.4,13742.285714285714,3858.8888888888887,152301.0,9173.7,1281.6694915254238,1659.076923076923,1536.2,1363.764705882353,5837.882352941177,11364.833333333334,9481.1,138.39952437574317,3019.8,6.45827951433738e-05,1126.2777777777778
EXPANSION,20.72072839832692,8.669864907190686,7.26276208246276,18.79550389620792,0.0,8.37898649950348,0.9985402352842452,16.542187081081458,16.249870269839665,16.403145327927536,5.3985920585467175,10.870098504181536,7.682341660592533,9.94807715966679,15.892150078655044,19.67185481787652,16.05035488805746
FRACTION_OVER_MEDIAN_DEGREE,0.23601584922664,0.4758218788628452,0.4770709740066097,0.4708639132238386,0.497513722957701,0.4836671537290741,0.1658684303383887,0.3633640042363286,0.3244870535648691,0.314755911011051,0.4133759966283378,0.4698020702119181,0.4805916522032021,0.0115791387799468,0.3535539609600068,0.0,0.3022442271030419
HUB_DOMINANCE,0.05741709425095,0.0319182518206688,0.0249165307348469,0.1487641286465118,0.0045207956600361,0.0382857215576993,0.9543635463972436,0.0127131369448505,0.0354531854651247,0.0243196294031057,,0.020149917693293926,0.0393981624438,,0.0156481884475676,,
INTERNAL_EDGE_DENSITY,0.0044495608574458,0.0017489515383511,0.0014079116272665,0.0131452487791713,0.0003175984592551,0.0025005854925936,0.2025603575772935,0.0004221081965553,0.001752029069447,0.0009946646099793,0.0159762375624248,0.0008751224482473999,0.0025960867299208,0.0006181654226308,0.0005426231334509,1.614569878584345e-05,0.0006443883175654
NORMALIZED_CUT,0.9329479933241372,0.492158152235081,0.4273131129037178,0.6427673635303668,0.0,0.4660049216472475,0.4085977969959946,0.9582442254009428,0.95825876244033,0.963535637733932,0.419905514679726,0.642934542027056,0.4276766217706783,0.9979378472452384,0.9392885908799872,1.000032284955167,0.9688944663297808
MAX_ODF,44.66666666666666,37.3,35.142857142857146,49.88148148148148,0.0,44.9,1.8983050847457628,53.76923076923077,51.86666666666667,49.94117647058823,25.94117647058824,48.333333333333336,38.3,14.705112960761,52.6,19.671919400671666,49.16666666666666
AVG_ODF,20.72072839832692,8.669864907190686,7.26276208246276,18.79550389620792,0.0,8.37898649950348,0.9985402352842452,16.542187081081458,16.249870269839665,16.403145327927536,5.3985920585467175,10.870098504181536,7.682341660592533,9.94807715966679,15.892150078655044,19.67185481787652,16.05035488805746
FLAKE_ODF,0.8601153917736832,0.3946937847315351,0.268610312604547,0.679561672438887,0.0,0.3163221522863245,0.0513732897692464,0.9681233682103464,0.9679378652272168,0.9737468243046322,0.2776377555564102,0.5653776924998459,0.2687911781003244,0.9967985498627068,0.9543038344877584,0.9999677086024285,0.9758993524945632
SCALED_DENSITY,14.010020287509198,5.506801079743987,4.432992623983913,41.389523141899815,1.0,7.873418210083446,637.7875952306904,1.3290624820577177,5.5164910861223975,3.131830715779284,50.30325902680659,2.7554366929231264,8.174116259913797,1.946374123100856,1.7085194138650124,0.0508368296990827,2.028940313743329
SIGNIFICANCE,,452740.7224622224,487707.9753978818,3215768.1024604365,545693.1693756887,478579.18425844086,,,,,541284.2484950732,312011.9349359407,504349.4181749018,,,,
SIZE,1508.1666666666667,1548.5,2212.1428571428573,577.437037037037,15485.0,1548.5,131.22881355932202,1191.1538461538462,1032.3333333333333,910.8823529411764,910.8823529411764,2580.8333333333335,1548.5,18.412604042806183,1548.5,1.000064582795143,860.2777777777778
SURPRISE,-2189.834151484724,77518.48284390356,74149.36454976615,,0.0,69930.79009117262,4111.2800619244645,-1395.218186063634,-1475.600114027997,-1452.8231367166793,102777.29682537694,16941.94497819024,80450.57608915125,572.9202455784864,-1662.1912050237297,5.227570793002791,-1334.7270987785378
