,provinces,kmeans,louvain,greedy_modularity,weighted_greedy_modularity,leiden,weighted_leiden,leiden_wp,leiden_p,label_propagation,async_fluid10,async_fluid7,rb_pots,rber_pots,angel,demon
ERDOS_RENYI_MODULARITY,0.49441183018946655,0.4684340894950798,0.5391727584801811,0.0,6.557603733153292e-06,0.033180319883859895,0.03241716332354104,0.03326505512387747,0.03516254057454739,0.04636750618148482,0.4597805835387216,0.48791874309197825,0.03499627026402841,0.1610289495799357,0.04319577170694734,3.115386216367572
LINK_MODULARITY,0.09005365809956101,0.0871339025410263,0.09426422296616623,,9.498228918853171e-07,0.02048578012957902,0.019255759484740145,0.0220206939224607,0.021886768894847985,,0.08103319011058924,0.09136916279976827,0.028682751684289447,,,0.11723731417453749
MODULARITY_DENSITY,47.75324025931693,31.666932090487375,64.99761870811211,19.670778172424928,-304598.0,-188.3808769967656,-261.62823949297456,-251.0959275893047,-215.90440495452108,77.49135968976891,22.26843881065025,35.94176990756692,-132.181480021802,-8332.935461859606,-109.77801287137441,-890.2098438306159
NEWMAN_GIRVAN_MODULARITY,0.5277352478435883,0.5025858738799499,0.6341178297704476,0.0,8.209508739533972e-05,0.04697718939615999,0.03955095867014185,0.04589552310833827,0.046156719887978266,0.0780112967207771,0.5573992735918318,0.5804828890199146,0.04521841124806125,0.011125270122974611,-0.3262306227937039,0.23020473987092038
Z_MODULARITY,1.525066762407548,1.4056459384601676,1.7144500043860915,,-0.008974234350092066,0.10231087026037743,0.10024744167435261,0.10361113916135085,0.10523579639433721,0.10097260270887885,1.5073293997135957,1.3819996326290098,0.0972013697346664,0.024626253351561777,0.009387866369193315,6.529579644063784
