src,trg,w
0,591,1
0,2435,2
0,2621,1
0,2964,1
0,3028,1
0,3142,1
0,4655,1
0,5669,1
0,8324,1
0,8457,1
0,8561,1
0,8576,1
0,8708,1
0,8979,1
0,9696,1
0,9916,1
0,10121,1
0,10436,1
0,10456,1
0,10595,1
0,10647,1
0,10738,1
0,10800,1
0,10888,1
0,11159,1
0,11178,1
0,11273,1
0,11459,1
0,11803,1
0,11893,1
0,12616,1
0,13319,1
0,13919,1
0,14000,1
0,14012,2
0,14068,1
0,14080,1
0,14086,1
0,14114,1
0,14122,1
0,14158,1
0,14194,1
0,14317,1
0,14348,1
0,14391,1
0,14397,1
0,14418,1
0,14420,1
0,14440,1
0,14452,1
0,14478,1
0,14483,1
0,14490,2
0,14582,1
0,14587,1
0,14625,1
0,14634,1
0,14642,1
0,14650,3
0,14677,1
0,14684,1
0,14697,1
0,14715,1
0,14720,1
0,14735,1
0,14752,1
0,14755,1
0,14757,1
0,14781,1
0,14782,1
0,14789,1
0,14809,1
0,14813,2
0,14819,4
0,14821,1
0,14828,1
0,14829,2
0,14848,1
0,14851,2
0,14852,1
0,14867,1
0,14944,1
0,14965,1
0,15373,1
0,15435,1
0,15445,1
0,15546,2
0,15585,1
0,15653,2
0,15775,49
0,15809,1
5,158,1
5,455,1
5,517,1
5,630,1
5,650,1
5,680,1
5,1332,1
5,1411,1
5,1414,1
5,1483,1
5,1614,2
5,1625,1
5,1656,1
5,1683,1
5,1750,1
5,1967,1
5,2013,1
5,2051,1
5,2082,1
5,2100,1
5,2153,1
5,2156,2
5,2363,1
5,2396,1
5,2435,1
5,2505,1
5,2514,1
5,2605,1
5,2606,1
5,2837,1
5,3562,1
5,3936,1
5,5498,1
5,6035,1
5,6208,1
5,6439,1
5,6460,1
5,6565,2
5,6653,1
5,7066,1
5,7089,1
5,8608,1
5,9147,1
5,10421,1
5,10439,1
5,10555,1
5,10706,1
5,10786,1
5,11827,1
5,12138,1
7,52,1
7,623,1
7,970,1
7,1130,1
7,1486,1
7,1998,1
7,3222,1
7,3688,1
7,3692,1
7,3751,1
7,3982,1
7,4022,1
7,4045,1
7,4128,1
7,4885,1
7,5198,1
7,5659,1
7,5908,1
7,6305,1
7,6565,1
7,8408,1
7,8458,1
7,8497,1
7,8502,1
7,8810,1
7,9583,1
7,9650,1
7,9902,1
7,10037,1
7,10454,1
7,10586,1
7,11168,1
7,12032,1
7,12411,1
7,12917,1
7,12948,1
7,13092,1
7,13100,1
7,13239,1
7,13300,1
7,13423,1
7,13716,2
7,13722,1
7,13773,1
7,13775,1
7,13776,1
7,13843,1
7,13868,1
8,40,2
8,44,1
8,77,1
8,99,1
8,106,1
8,138,1
8,141,1
8,192,1
8,242,1
8,257,1
8,353,1
