src,trg,w
8,246,1
8,13339,1
10,4140,1
10,5824,1
23,12951,1
23,13109,1
23,13266,1
23,13638,1
33,12910,1
33,13701,1
33,13720,1
33,14852,1
40,2171,1
40,2412,1
40,3667,1
40,3679,1
40,5314,1
40,5456,1
40,10230,1
40,10455,1
40,10556,1
40,12964,1
40,13109,2
40,13291,1
40,13318,1
40,13330,1
40,13705,1
40,13706,1
40,14029,1
50,792,1
50,941,1
50,1869,1
50,2014,1
50,2244,1
50,2540,1
50,3112,1
50,3222,1
50,3237,1
50,3300,1
50,10036,1
50,10673,1
50,13920,1
50,13981,1
50,14070,1
50,14395,1
50,14818,1
56,1746,1
56,12969,1
57,13679,1
77,11909,1
77,13677,1
77,13705,1
81,13807,1
100,13679,1
108,672,1
108,1257,1
108,12964,1
108,13330,1
108,13358,1
110,1819,1
110,1940,1
110,2382,1
110,3176,1
110,6848,1
110,9153,1
110,14485,1
110,14844,1
116,4139,1
116,12454,1
116,12943,1
116,13109,1
130,12970,1
132,1288,1
132,1332,1
132,1428,1
132,2113,1
132,2489,1
132,3315,1
132,3570,1
132,3582,1
132,3950,1
132,6974,1
134,1831,1
134,1906,1
134,1938,1
134,2479,1
134,2608,1
134,4269,1
134,7283,1
134,8495,1
134,8834,1
134,10252,1
134,10465,1
134,11365,1
134,12461,1
134,12620,1
134,12969,1
134,13128,1
134,14230,1
134,14683,1
134,15512,1
137,804,1
137,1500,1
137,1746,1
137,1901,1
137,2171,1
137,2237,1
137,2470,1
137,2633,2
137,3430,1
137,3752,1
137,4155,1
137,5290,1
137,5296,1
137,5409,1
137,11202,1
141,4337,1
141,7190,1
141,10465,1
141,10586,1
141,10897,1
141,11832,1
141,12945,1
141,13028,1
141,13119,1
141,13678,1
141,13841,1
141,13844,1
141,13859,1
153,2138,1
153,2515,1
153,2608,1
153,6326,1
153,14029,1
162,1858,1
162,3181,1
162,8560,1
162,10827,1
162,12413,1
162,12468,1
162,12505,1
162,12878,1
162,13459,1
179,13071,1
190,1367,2
190,1407,2
190,1411,1
190,1614,1
190,1687,1
190,1715,1
190,1758,1
190,1788,1
190,1799,1
190,1852,1
190,1960,1
190,1997,1
190,2014,1
190,2033,1
190,2101,1
190,2113,1
190,2126,1
190,2271,1
190,2273,1
190,2427,1
190,2510,1
190,2517,1
190,2650,1
190,2696,1
190,3123,1
190,3134,2
190,3176,2
190,3237,1
190,3299,2
190,3358,1
190,3582,2
190,5660,1
190,5970,2
190,6035,2
190,6228,1
190,6776,1
190,6984,1
190,7448,1
190,7489,1
190,8477,1
190,8478,1
190,8607,1
190,8672,1
190,8989,1
190,9168,1
190,10786,1
190,10826,1
190,10883,1
190,11178,1
190,12931,1
190,13212,1
190,13678,1
190,13701,1
190,14421,1
190,14452,1
190,14715,1
190,14825,1
190,15839,1
199,1977,1
199,3237,1
199,6525,1
199,9762,1
206,1537,1
206,1570,1
206,1775,1
206,1802,1
206,1965,1
206,2237,1
206,2462,1
206,2541,1
206,2633,1
206,3682,1
206,3900,1
206,3963,1
206,4099,1
206,5320,1
206,13677,1
207,1977,1
207,2033,1
207,3237,1
207,9160,1
207,9762,1
207,10552,1
212,13318,1
212,13685,1
212,13851,1
212,13852,1
227,1869,1
227,1949,1
227,2376,1
227,2635,1
227,2708,1
227,2963,1
227,3153,1
227,3533,1
227,3582,1
227,4140,1
227,5432,1
227,6565,1
227,7838,1
227,8961,1
227,8965,1
227,9160,1
227,9188,1
227,9342,1
227,9405,1
227,10353,1
227,10605,1
227,11520,1
229,12945,1
242,1758,1
242,1997,1
242,2033,1
242,2156,1
242,2221,1
242,2708,1
242,3134,1
242,3944,1
242,4140,1
242,6780,1
242,7372,1
242,8808,1
242,9405,1
242,11442,1
242,14715,1
246,1765,1
246,1796,1
246,1878,1
246,1997,1
246,2077,1
246,2402,1
246,2412,1
246,2662,1
246,3486,1
246,3570,1
246,5337,1
246,5824,1
246,8965,1
246,11239,1
246,14317,1
246,14645,1
250,6489,1
250,13688,1
262,6778,1
262,12437,1
267,5392,1
269,13026,1
275,2462,1
275,12407,1
275,12892,1
275,12950,2
275,13330,1
296,7424,1
305,1997,1
310,3181,1
310,8560,1
