src,trg,w
13,1275,1
13,1446,1
13,1613,1
13,1799,1
13,1821,1
13,1869,1
13,1894,1
13,1924,1
13,1945,1
13,2014,1
13,2082,1
13,2091,1
13,2138,1
13,2259,1
13,2391,1
13,2474,1
13,2696,1
13,3239,1
13,3637,1
13,3638,1
13,3639,1
13,3685,1
13,3715,1
13,3926,1
13,3966,1
13,4066,1
13,4133,1
13,4849,1
13,5611,1
13,5678,1
13,5707,1
13,5995,1
13,6483,1
13,6581,1
13,6694,1
13,8525,1
13,8601,1
13,8820,1
13,9001,1
13,9316,1
13,9355,1
13,9942,1
13,10027,1
13,10252,1
13,10380,1
13,10459,1
13,10539,1
13,10573,1
13,10586,1
13,10638,1
13,10684,1
13,11184,1
13,11389,1
13,11821,1
13,12183,1
13,12486,1
13,12708,1
13,12768,1
13,12898,1
13,12899,1
13,12923,1
13,12932,1
13,12951,1
13,12952,1
13,12971,1
13,12977,1
13,12981,1
13,13013,1
13,13020,1
13,13023,1
13,13053,1
13,13056,3
13,13068,1
13,13090,1
13,13097,1
13,13110,1
13,13115,1
13,13117,1
13,13133,1
13,13272,1
13,13274,1
13,13311,1
13,13319,1
13,13338,1
13,13657,1
13,13662,1
13,13663,1
13,13665,1
13,13670,1
13,13705,1
13,13754,1
13,13757,1
13,13760,1
13,13780,1
13,13805,1
13,13806,1
13,13808,1
13,13825,1
13,13827,1
13,13842,1
13,13843,1
13,13844,2
13,13870,1
13,14592,1
13,14671,1
13,14715,1
13,14850,1
14,300,1
14,1275,1
14,12476,1
14,13222,1
14,13642,1
14,13689,1
17,41,1
17,94,1
17,170,1
17,408,1
17,419,1
17,499,1
17,664,1
17,1029,1
17,1131,1
17,1158,1
17,1201,1
17,1481,1
17,1547,1
17,1655,1
17,1720,1
17,1785,1
17,1886,1
17,2001,1
17,2147,1
17,2414,1
17,2447,1
17,2462,1
17,3393,1
17,3741,1
17,5087,1
17,5409,1
17,6727,1
17,8297,1
17,8542,1
17,8562,1
17,8606,1
17,8635,1
17,9355,1
17,10344,1
17,10353,1
17,10414,1
17,10518,1
17,11203,1
17,11236,1
17,11816,1
17,12151,1
17,12494,1
17,12510,1
17,12777,1
17,12923,1
17,12924,2
17,12947,1
17,12974,1
17,12982,3
17,12984,1
17,13071,1
17,13082,1
17,13095,1
17,13097,1
17,13099,1
17,13106,1
17,13296,1
17,13306,1
17,13629,1
17,13657,1
17,13691,1
17,13714,1
17,13715,1
17,13716,2
17,13780,1
17,13781,1
17,13784,1
17,13820,1
17,13831,1
17,13832,2
17,13865,1
17,14290,1
17,14399,1
17,14402,1
17,14684,1
17,14697,1
17,14724,1
17,15458,1
18,497,1
18,556,1
18,966,1
18,1140,1
18,2735,1
18,2823,1
18,2976,1
18,3463,1
18,8670,1
18,12640,1
18,12950,1
18,12964,1
18,12971,1
18,12977,1
18,13093,1
18,13165,1
18,13282,1
18,13656,1
18,13723,1
18,14251,1
20,40,1
20,102,1
20,116,1
20,227,1
20,988,1
20,1107,1
20,1598,1
20,1655,1
20,1972,1
20,2001,1
20,2259,1
20,2276,1
20,2302,1
20,2335,1
20,2662,1
20,3196,1
20,3705,1
20,3944,1
20,3950,1
20,4007,1
20,4064,1
20,4082,1
20,5409,1
20,5623,1
20,7499,1
20,8457,1
20,8483,1
20,8502,1
20,8514,1
20,8875,1
20,10053,1
20,10061,1
20,10095,1
20,10195,1
20,10289,1
20,10310,1
20,10355,1
20,10446,1
20,10455,1
20,10466,1
20,10542,1
20,10647,1
20,10648,1
20,10659,1
20,10719,1
20,10729,1
20,10775,1
20,10830,1
20,10831,1
20,10877,1
20,10883,1
20,11005,1
20,11170,1
20,11178,1
20,11226,1
20,11509,1
20,12010,1
20,12126,1
20,12451,1
20,12596,1
20,12676,1
20,12881,1
20,12931,1
20,12974,2
20,12991,1
20,13048,1
20,13093,1
20,13198,1
20,13291,1
20,13295,1
20,13330,3
20,13358,1
20,13381,1
20,13657,1
20,13870,1
20,13876,1
21,116,2
21,300,1
21,663,1
21,672,3
21,792,1
21,890,1
21,906,1
21,1050,1
21,1093,1
21,1116,2
21,1171,2
21,1184,1
21,1639,1
21,1689,1
21,1938,1
21,1972,1
21,2261,1
21,2430,1
21,3391,1
21,3484,1
21,4294,1
21,5640,1
21,6616,1
21,6713,1
21,6918,1
21,8049,1
21,8297,1
21,8380,1
21,8585,1
21,8714,1
21,9049,1
21,10045,1
21,10256,1
21,10466,1
21,10884,1
21,11219,1
21,11256,1
21,12336,1
21,12464,1
21,12707,1
21,12724,1
21,12908,2
21,12987,1
21,13002,1
21,13056,1
21,13082,1
21,13093,1
21,13170,1
21,13330,1
21,13358,1
21,13382,2
21,13653,1
21,13679,1
21,13695,1
21,13740,1
21,13757,1
21,13815,2
21,13825,1
21,13852,1
21,14289,1
21,14456,1
21,14752,1
22,1393,1
22,2007,1
22,3486,1
22,9136,1
22,13883,1
22,14009,1
22,14028,1
22,14137,1
22,14454,1
22,14654,1
22,14796,1
23,100,1
23,675,1
23,2414,1
23,2565,1
23,12780,1
23,12814,1
23,12969,1
23,13461,1
23,13653,1
25,46,1
25,50,1
25,51,1
25,126,1
25,165,1
25,190,3
25,227,1
25,238,1
25,242,1
25,258,1
25,267,2
25,288,1
25,296,3
25,303,1
25,306,1
25,310,1
25,326,1
25,329,2
25,347,3
25,367,2
25,371,1
25,374,1
25,375,1
25,387,1
25,398,1
25,411,1
25,413,2
25,415,1
25,416,1
25,421,1
25,423,3
25,442,2
25,452,2
25,456,5
25,458,1
25,461,2
25,462,2
25,479,1
25,483,1
25,486,2
25,493,2
25,497,1
25,499,1
25,502,1
25,512,1
25,516,1
25,517,4
25,521,1
25,525,1
25,535,1
25,540,1
25,543,1
25,550,1
25,566,2
25,584,1
25,586,2
25,591,2
25,598,1
25,601,1
25,604,3
25,614,1
25,618,1
25,623,3
25,629,3
25,630,2
25,634,1
