srg,trg,w
17,13651,1
17,13691,1
17,13809,1
17,13858,1
17,13861,1
18,190,1
18,264,1
18,1016,1
18,1054,1
18,1179,1
18,1215,1
18,1239,1
18,1257,1
18,1803,1
18,2465,1
18,2592,1
18,2647,1
18,3128,1
18,3977,1
18,4634,1
18,4844,1
18,5391,1
18,6472,1
18,6892,1
18,10098,1
18,13003,2
18,13022,1
18,13034,1
18,13068,1
18,13106,1
18,13120,3
18,13148,1
18,13203,1
18,13254,2
18,13291,1
18,13298,1
18,13332,1
18,13381,1
18,13676,1
18,13692,2
18,13727,1
18,13812,1
18,13832,2
18,13866,2
19,222,1
19,509,1
19,536,1
19,692,1
19,718,1
19,722,1
19,766,1
19,1034,1
19,1072,1
19,1407,1
19,1588,2
19,1721,1
19,1779,1
19,1791,1
19,1817,1
19,1850,1
19,1928,1
19,1960,1
19,1966,1
19,1992,1
19,2013,1
19,2018,1
19,2048,1
19,2056,1
19,2085,1
19,2134,1
19,2138,1
19,2279,2
19,2315,1
19,2461,1
19,2468,1
19,2524,1
19,2591,1
19,2644,1
19,2903,1
19,3015,1
19,3069,1
19,3098,1
19,3250,1
19,3485,1
19,4131,1
19,4744,1
19,5927,1
19,6088,1
19,6181,1
19,6277,1
19,6482,1
19,6570,1
19,6680,1
19,7282,1
19,7608,1
19,8622,1
19,8646,1
19,8963,1
19,9220,1
19,10137,1
19,10476,1
19,10627,1
19,10797,1
19,10835,1
19,10873,1
19,11705,1
19,11924,1
19,12454,1
19,12791,1
19,13011,1
19,13200,1
19,13228,1
19,14112,1
19,14770,1
20,675,1
20,1171,1
20,2100,1
20,2226,1
20,4064,1
20,9957,1
20,10566,1
20,10775,1
20,10834,1
20,12977,1
20,13048,1
20,13129,1
20,13278,1
20,13330,1
20,13336,1
20,13711,1
20,13771,1
20,13832,1
20,13838,1
20,13941,1
20,14863,1
21,116,1
21,672,1
21,1092,1
21,12908,1
22,2006,1
22,3160,1
22,3261,1
24,491,1
24,493,2
24,636,1
24,800,1
24,992,1
24,1365,1
24,1417,1
24,1474,1
24,1688,1
24,1736,1
24,1771,1
24,1921,1
24,1969,1
24,2011,1
24,2028,1
24,2119,1
24,2171,1
24,2189,1
24,2192,1
24,2221,1
24,2238,1
24,2345,1
24,2357,1
24,2395,2
24,2436,1
24,2592,1
24,2631,1
24,2667,1
24,2687,1
24,2901,1
24,2945,1
24,3162,1
24,3197,2
24,3270,1
24,3293,1
24,3311,1
24,3347,1
24,3394,1
24,3568,1
24,3649,1
24,3727,1
24,4962,1
24,5362,1
24,5507,1
24,5825,1
24,5830,1
24,5843,1
24,5878,1
24,5944,1
24,6067,1
24,6233,1
24,6474,1
24,6570,1
24,6602,1
24,6781,1
24,6800,1
24,6860,1
24,6956,1
24,8448,1
24,8480,1
24,8559,1
24,8646,1
24,8949,1
24,8956,1
24,8970,1
24,8985,1
24,8992,1
24,9001,1
24,9023,1
24,9035,1
24,9040,1
24,9078,1
24,9110,1
24,9148,1
24,9151,2
24,9155,1
24,9203,1
24,9331,1
24,9340,1
24,9606,1
24,10102,2
24,10157,1
24,10196,1
24,10276,1
24,10435,1
24,10567,1
24,10691,1
24,10708,2
24,10830,2
24,10883,1
24,10888,2
24,11638,1
24,11870,1
24,12408,1
24,12844,1
24,13174,1
24,13244,1
24,13314,1
24,13806,1
24,13811,1
24,14110,1
24,14516,1
24,14815,1
25,374,1
25,413,1
25,452,1
25,456,1
25,459,1
25,502,1
25,534,1
25,728,1
25,776,1
25,1318,1
25,1788,2
25,1793,1
25,1847,1
25,2047,1
25,2162,1
25,2191,1
25,2941,1
25,3101,1
25,3273,1
25,3279,1
25,7309,1
25,7577,1
25,9164,1
25,9404,1
25,9405,1
25,14093,1
25,14418,1
26,1299,1
26,1417,1
26,1536,1
26,1828,1
26,2144,1
26,2166,1
26,2267,1
26,2402,1
26,4178,1
26,4304,1
26,4332,1
26,10415,1
26,11359,1
27,109,1
27,999,1
27,1623,1
27,1832,1
27,2667,1
27,3532,1
27,5439,1
27,5736,1
27,12452,1
27,12928,1
27,12954,1
27,13049,1
27,13677,1
27,13702,1
27,13719,1
27,13770,1
30,753,1
30,10612,1
30,12506,1
30,13719,1
31,190,1
31,329,1
31,413,1
31,538,1
31,636,1
31,645,1
31,711,1
31,732,1
31,753,1
31,1004,1
31,1257,1
31,1427,1
31,1446,1
31,1519,1
31,1714,1
31,1753,1
31,1799,1
31,1893,2
31,1912,1
31,1925,1
31,1931,1
31,1966,1
31,1969,1
31,2023,1
31,2092,1
31,2112,1
31,2146,1
31,2152,1
31,2155,1
31,2227,1
31,2233,1
31,2285,1
31,2289,1
31,2366,1
31,2401,1
31,2430,1
31,2444,1
31,2487,2
31,2537,1
31,2568,1
31,2584,1
31,2607,1
31,2610,1
31,2622,1
31,2642,1
31,3144,1
31,3160,1
31,3202,1
31,3256,1
31,3266,1
31,3279,1
31,3300,1
31,3486,1
31,3528,1
31,3603,1
31,3605,1
31,4025,1
31,5497,1
31,5653,1
31,5818,1
31,5918,1
31,5958,1
31,6028,1
31,6049,1
31,6249,1
31,6292,1
31,6328,1
