src,trg,w
0,15775,3
16,621,1
16,945,1
16,1371,1
16,1803,1
16,2220,1
16,3365,1
16,5090,1
16,5927,1
16,5969,1
16,6129,1
16,6174,1
16,6220,1
16,6222,1
16,6529,1
16,6792,1
16,6894,1
16,6895,1
16,6896,1
16,6909,1
16,6911,1
16,7007,1
16,7313,1
16,7463,1
16,7498,1
16,7542,1
16,7639,1
16,7749,1
16,7750,1
16,7751,1
16,7752,1
16,7763,1
16,7872,1
22,621,1
22,945,1
22,1371,1
22,1803,1
22,2220,1
22,3365,1
22,5090,1
22,5927,1
22,5969,1
22,6129,1
22,6174,1
22,6220,1
22,6222,1
22,6529,1
22,6792,1
22,6894,1
22,6895,1
22,6896,1
22,6909,1
22,6911,1
22,7007,1
22,7313,1
22,7463,1
22,7498,1
22,7542,1
22,7639,1
22,7749,1
22,7750,1
22,7751,1
22,7752,1
22,7763,1
22,7872,1
26,13003,1
31,2134,1
31,2466,1
31,2634,1
31,8217,1
31,11352,1
46,3311,1
46,3394,1
46,5825,1
46,5944,1
46,6399,1
46,6420,1
46,6474,1
46,6497,1
46,6599,1
112,817,1
112,1973,1
112,2015,1
112,2205,1
112,2433,1
112,3532,1
112,8915,1
184,6202,1
188,6495,1
226,2120,1
226,13359,1
254,1761,1
254,6026,1
254,7654,1
254,7755,1
329,2262,1
329,2566,1
329,2654,1
329,2779,1
329,3427,1
337,13430,1
337,13659,1
337,13730,1
344,13430,1
344,13659,1
344,13730,1
377,2820,1
381,6278,1
381,11000,1
381,13981,1
393,9641,1
396,3564,1
428,14793,1
434,3456,1
453,10744,1
453,11306,1
465,13947,1
480,8592,1
480,10632,1
489,12829,1
497,4330,1
497,9049,1
497,9158,1
511,9131,1
511,14516,1
526,9042,1
526,14540,1
543,9342,1
547,3607,1
598,8677,1
621,5090,1
621,5927,1
621,5969,1
621,6129,1
621,6174,1
621,6220,1
621,6222,1
621,6529,1
621,6792,1
621,6894,1
621,6895,1
621,6896,1
621,6909,1
621,6911,1
621,7007,1
621,7313,1
621,7463,1
621,7498,1
621,7542,1
621,7639,1
621,7749,1
621,7750,1
621,7751,1
621,7752,1
621,7763,1
621,7872,1
621,15691,1
645,6495,1
656,14057,1
687,4853,1
687,5674,1
687,5931,1
687,6588,1
687,7121,1
687,7499,1
687,7619,1
687,8484,1
687,10025,1
687,10950,1
687,11294,1
697,7187,1
697,7211,1
698,8950,1
698,12857,1
698,14613,1
713,12984,1
713,13297,1
736,9123,1
736,9158,1
761,10924,1
765,8023,1
776,8991,1
776,9078,1
802,6026,1
802,6688,1
802,7588,1
802,7654,1
802,7921,1
802,7922,1
802,7928,1
802,11080,1
802,14539,1
808,13332,1
817,8915,1
831,6688,1
831,7588,1
831,7921,1
831,7922,1
831,7928,1
831,11080,1
831,14539,1
835,6490,1
879,11215,1
945,6792,1
945,6894,1
945,6895,1
945,6896,1
945,6909,1
945,6911,1
945,7007,1
945,7313,1
945,7463,1
945,7498,1
945,7542,1
945,7639,1
945,7749,1
945,7750,1
945,7751,1
945,7752,1
945,7763,1
945,7872,1
958,13231,1
1058,13191,1
1128,13160,1
1132,13804,1
1172,12392,1
1223,12984,1
1223,13297,1
1251,10874,1
1318,9304,1
1318,13935,1
1412,13430,1
1412,13659,1
1412,13730,1
1457,13017,1
1512,14411,1
1567,10950,1
1567,11294,1
1582,12934,1
1582,13022,1
1598,10950,1
1598,11294,1
1688,13981,1
1853,13794,1
1983,15390,1
