src,trg,w
7,13106,1
8,50,1
8,52,1
8,141,1
8,212,1
8,275,1
8,347,1
8,522,1
8,778,1
8,1081,1
8,1140,1
8,1167,1
8,1187,1
8,1352,1
8,1407,1
8,1520,1
8,1736,1
8,1771,1
8,1811,1
8,1819,1
8,1909,1
8,2033,1
8,2139,1
8,2171,1
8,2412,1
8,2614,1
8,3181,1
8,3669,1
8,3728,1
8,3733,1
8,3739,1
8,3752,1
8,3912,1
8,3953,1
8,3976,1
8,4042,1
8,4070,1
8,4114,1
8,4150,1
8,4157,2
8,4345,1
8,4668,1
8,5181,1
8,5288,1
8,5306,1
8,5317,1
8,5351,1
8,5367,1
8,5376,1
8,5391,1
8,5425,1
8,5427,1
8,5486,1
8,5674,1
8,5678,1
8,6696,1
8,7130,1
8,8458,1
8,8489,1
8,8496,1
8,8627,1
8,9001,1
8,9355,1
8,9499,1
8,9576,1
8,9955,1
8,10088,1
8,10136,1
8,10181,1
8,10410,1
8,10486,1
8,10542,1
8,10545,1
8,10647,1
8,10691,1
8,10761,1
8,10786,1
8,10820,1
8,10883,1
8,10885,1
8,10904,1
8,11182,1
8,11371,1
8,11569,1
8,11610,1
8,11826,1
8,11832,1
8,12401,1
8,12829,1
8,12867,1
8,12896,1
8,12923,1
8,12950,1
8,12965,1
8,12969,1
8,13005,1
8,13019,1
8,13054,1
8,13063,1
8,13064,1
8,13071,1
8,13076,2
8,13082,1
8,13105,1
8,13107,2
8,13124,2
8,13160,1
8,13190,1
8,13193,1
8,13203,1
8,13275,1
8,13296,2
8,13306,1
8,13330,1
8,13356,1
8,13644,2
8,13649,1
8,13656,1
8,13657,2
8,13670,1
8,13677,1
8,13682,1
8,13699,1
8,13714,1
8,14432,1
8,15635,1
9,12924,1
10,426,1
10,775,1
10,1796,2
10,1850,1
10,2128,1
10,2138,1
10,2332,1
10,2365,1
10,2371,1
10,2396,1
10,2489,1
10,2497,1
10,2608,1
10,2625,1
10,2817,1
10,3104,1
10,3281,1
10,3587,1
10,5978,1
10,6411,1
10,7194,1
12,50,1
12,408,1
12,452,1
12,732,2
12,799,1
12,1367,3
12,1630,1
12,1670,1
12,1715,2
12,1797,1
12,1901,1
12,1960,1
12,2017,1
12,2056,1
12,2069,1
12,2082,1
12,2138,1
12,2298,1
12,2352,1
12,2395,1
12,2489,1
12,3239,2
12,3300,1
12,3359,1
12,4047,1
12,4512,1
12,5908,1
12,6328,1
12,6387,1
12,6466,1
12,6582,1
12,6824,1
12,6836,1
12,7130,1
12,7181,1
12,7448,1
12,8162,1
12,8539,1
12,8568,1
12,9134,1
12,9346,1
12,10037,1
12,11231,1
12,11250,1
12,11365,1
12,11399,1
12,12408,1
12,13087,1
12,13275,1
12,13782,1
12,13920,1
12,14375,1
12,14444,1
12,14691,2
12,14696,1
12,14805,1
12,15107,1
13,187,1
13,672,1
13,675,1
13,890,1
13,900,1
13,905,1
13,940,2
13,988,1
13,1029,3
13,1124,1
13,1180,1
13,1257,1
13,1448,1
13,1465,1
13,1571,1
13,2273,1
13,2276,1
13,3622,1
13,4339,1
13,7640,1
13,8546,1
13,9997,1
13,10053,2
13,10073,1
13,10455,1
13,10775,1
13,10897,1
13,10898,1
13,11470,1
13,11894,1
13,12041,1
13,12803,1
13,12841,1
13,12909,1
13,12930,1
13,12940,1
13,12943,1
13,12951,1
13,12971,1
13,12973,2
13,12974,1
13,12977,2
13,13067,1
13,13082,1
13,13090,1
13,13092,1
13,13110,1
13,13155,2
13,13195,1
13,13205,1
13,13229,1
13,13291,1
13,13297,1
13,13302,2
13,13306,1
13,13330,1
13,13349,1
13,13644,1
13,13662,2
13,13677,1
13,13678,1
13,13679,1
13,13683,2
13,13686,1
13,13694,1
13,13718,1
13,13720,1
13,13754,2
13,13757,1
13,13770,1
13,13780,1
13,13782,1
13,13817,1
13,13832,1
13,13868,1
13,14800,1
14,3740,1
14,3957,1
18,1050,1
18,3942,1
18,10344,1
18,10886,1
18,13381,2
18,13727,1
18,13920,1
18,14809,1
21,672,1
23,187,1
23,1649,1
23,4380,1
23,4460,1
23,5404,1
23,7234,1
23,8831,1
23,10529,1
23,10647,1
23,11366,1
23,12892,1
23,12955,1
23,12971,1
23,13013,1
23,13382,1
23,13648,1
23,13662,1
23,13674,1
23,13704,1
23,13706,1
23,13782,1
23,13813,1
23,13817,1
25,77,1
25,102,1
25,110,2
25,170,1
25,190,7
25,206,1
25,207,3
25,227,1
25,242,5
25,244,1
25,267,1
25,296,2
25,303,1
25,305,3
25,313,1
25,317,1
25,347,2
25,367,1
25,370,2
25,373,1
25,384,1
25,392,1
25,395,1
25,398,1
25,408,2
25,410,1
25,411,1
25,413,2
25,416,1
25,420,1
25,423,1
25,438,1
25,442,1
25,445,1
25,452,2
25,456,5
25,462,2
25,479,1
25,482,1
25,483,1
25,484,1
25,493,1
25,498,1
25,499,1
25,502,1
25,512,1
25,517,5
25,523,1
25,538,1
25,540,1
25,543,1
25,545,1
25,550,2
25,566,3
25,570,1
25,572,1
25,580,1
25,591,1
25,607,1
25,615,1
25,619,4
25,629,1
25,634,1
25,644,1
25,646,1
25,647,1
25,655,1
25,680,1
25,683,1
25,686,2
25,690,1
25,694,1
25,714,1
25,719,1
25,722,1
25,723,1
25,727,1
25,734,1
25,739,1
25,741,1
25,751,1
25,754,1
25,768,1
25,770,4
25,772,1
25,778,1
25,781,1
25,792,1
25,793,2
25,794,1
