src,trg,w
0,450,1
0,490,1
0,507,1
0,536,1
0,595,1
0,604,1
0,794,1
0,1225,1
0,1302,1
0,1383,1
0,1807,1
0,2435,1
0,2488,1
0,2729,1
0,2807,1
0,2946,1
0,2996,1
0,3021,1
0,3023,1
0,3124,1
0,3313,1
0,5780,1
0,6281,1
0,6356,1
0,7640,1
0,7959,1
0,8021,1
0,8101,1
0,8420,1
0,8567,2
0,8592,1
0,8617,1
0,8621,1
0,8646,1
0,8663,1
0,8668,1
0,8910,1
0,9067,1
0,9510,1
0,9543,1
0,9719,1
0,9967,1
0,10134,1
0,10207,1
0,10509,1
0,10512,1
0,10538,1
0,10564,1
0,11009,1
0,11197,1
0,11210,1
0,11611,1
0,12564,1
0,12608,1
0,13926,1
0,13935,1
0,13950,1
0,14005,1
0,14010,1
0,14012,1
0,14013,1
0,14037,1
0,14055,1
0,14070,1
0,14080,1
0,14087,1
0,14088,1
0,14131,1
0,14148,1
0,14163,2
0,14221,1
0,14236,1
0,14279,1
0,14280,1
0,14293,1
0,14295,1
0,14326,1
0,14377,1
0,14383,1
0,14389,1
0,14393,1
0,14407,1
0,14411,1
0,14414,1
0,14415,1
0,14420,1
0,14422,1
0,14426,1
0,14429,1
0,14433,1
0,14440,1
0,14443,1
0,14453,1
0,14454,1
0,14466,1
0,14467,1
0,14478,1
0,14479,2
0,14490,2
0,14491,1
0,14576,1
0,14579,1
0,14588,1
0,14630,1
0,14650,2
0,14653,1
0,14677,1
0,14679,1
0,14689,1
0,14692,1
0,14710,1
0,14712,1
0,14749,1
0,14754,1
0,14755,1
0,14757,2
0,14769,1
0,14776,1
0,14788,1
0,14789,1
0,14803,1
0,14807,1
0,14813,1
0,14819,2
0,14822,1
0,14826,1
0,14841,1
0,14846,1
0,14850,1
0,14851,2
0,14854,1
0,14858,2
0,14864,1
0,14944,1
0,15015,2
0,15041,1
0,15355,1
0,15400,1
0,15428,1
0,15445,1
0,15449,1
0,15507,1
0,15531,1
0,15585,1
0,15671,1
0,15755,1
0,15764,1
0,15775,36
0,15792,1
0,15827,1
0,15828,1
0,15835,2
0,15839,2
0,15857,1
0,15860,1
1,646,1
1,1832,1
1,2082,1
1,2206,1
1,2744,1
1,3755,1
1,3954,1
1,4167,1
1,4174,1
1,4188,1
1,4195,1
1,4197,1
1,4198,1
1,4302,1
1,4322,1
1,4350,1
1,4385,1
1,6215,1
1,7127,1
1,7146,1
1,7149,1
1,7154,1
1,7158,4
1,7189,2
1,7230,1
1,8078,1
1,8106,1
1,8530,1
1,8570,1
1,8582,1
1,8598,1
1,8613,1
1,8735,1
1,8864,1
1,8910,1
1,9522,1
1,9597,1
1,10115,1
1,10488,1
1,10688,1
1,11260,1
1,11268,1
1,11334,1
1,12489,1
1,12783,1
1,13893,1
1,14082,1
1,14087,1
1,14424,1
1,14450,1
1,14491,1
1,14577,1
1,14666,1
1,14669,1
1,14675,1
1,14693,1
1,14724,1
1,14737,1
1,14742,1
1,14771,1
1,14775,1
1,14786,1
1,14819,1
1,14844,1
1,15584,1
2,498,1
2,509,1
2,614,1
2,655,1
2,692,1
2,694,1
2,1367,1
2,1774,1
2,1777,1
2,1886,1
2,1925,1
2,2051,1
2,2240,1
2,2253,1
2,2269,1
2,2436,1
2,2475,1
2,2521,1
2,2568,1
2,2641,1
2,2966,1
2,3222,1
2,3359,1
2,3665,1
2,3667,1
2,3743,1
2,3847,1
2,3848,1
2,3955,1
2,4024,1
2,4132,1
2,4175,1
2,4207,1
2,4209,1
2,4217,1
2,4229,1
2,4249,1
2,4281,1
2,4292,1
2,4295,1
2,4302,1
2,4304,1
2,4315,1
2,4324,1
2,4332,1
2,4349,1
2,4362,1
2,4394,1
2,4398,1
2,4417,1
2,4424,1
2,4446,1
2,4466,1
2,4479,1
2,4642,1
2,4648,1
2,4690,1
2,5045,1
2,5407,1
2,5504,1
2,7126,1
2,7127,1
2,7130,2
2,7137,2
2,7139,1
2,7140,1
2,7148,1
2,7154,1
2,7161,2
2,7168,1
2,7173,1
2,7188,1
2,7189,1
2,7194,1
2,7197,2
2,7207,1
2,7209,1
2,7211,1
2,7212,1
2,7214,1
2,7216,1
2,7227,1
2,7229,1
2,7240,1
2,7242,1
2,7243,1
2,8448,1
2,8521,1
2,8750,1
2,8843,1
2,8857,1
2,9100,1
2,9136,1
2,9138,1
2,9330,1
2,10155,1
2,10413,1
2,10523,1
2,10545,1
2,10572,1
2,10802,1
2,10991,1
2,11200,1
2,11221,1
2,11254,1
2,11278,1
2,11371,1
2,12424,1
2,12533,1
2,12766,1
2,12770,1
2,12972,1
2,13653,1
2,13686,1
2,13690,1
2,13814,1
2,13832,1
2,13841,1
2,13909,1
2,13921,2
2,13922,1
2,14024,1
2,14053,1
2,14087,3
2,14139,1
2,14182,2
2,14354,1
2,14372,1
2,14404,1
2,14412,1
2,14432,1
2,14458,1
2,14461,1
2,14492,1
2,14493,1
2,14495,1
2,14644,1
2,14655,1
2,14659,1
2,14675,1
2,14693,1
2,14697,1
2,14711,1
2,14760,1
2,14774,1
2,14790,1
2,14804,1
2,14806,1
2,14816,1
2,14837,1
2,14840,2
2,15165,1
2,15275,1
2,15540,1
2,15562,1
2,15737,1
3,190,1
3,376,1
3,390,1
3,396,1
3,450,1
3,497,1
3,521,1
3,568,1
3,597,1
3,610,1
3,634,1
3,727,1
3,819,1
3,1431,1
3,1477,1
3,1519,1
3,1683,1
3,1753,1
3,1759,1
3,1777,1
3,1836,1
3,1868,1
3,1912,1
3,1927,1
3,2027,1
3,2429,1
3,2479,1
3,2509,1
3,2511,1
3,2520,1
3,2594,1
3,2609,1
3,2637,1
3,2692,1
3,2722,1
3,2735,1
3,2749,1
3,2776,1
3,2803,1
3,2805,1
3,2846,1
3,2879,1
3,2881,1
3,2918,1
3,2926,1
3,2955,1
3,2960,1
3,2970,1
3,3023,1
3,3066,1
3,3071,1
3,3072,1
3,3122,1
3,3155,1
3,3170,1
3,3173,1
3,3189,1
3,3253,1
3,3262,1
3,3280,1
3,3300,1
3,3308,1
3,3338,1
3,3358,1
3,3406,1
3,3409,1
3,3417,1
3,3434,1
3,3438,1
3,3455,1
3,3468,1
3,3484,1
3,3499,1
3,3504,1
3,3518,1
3,3526,1
3,3545,1
3,3559,1
3,3563,1
3,3585,1
3,3604,1
3,3609,1
3,3615,1
3,3867,1
3,3991,1
3,4270,1
3,4310,1
3,4506,1
3,4532,1
3,4592,1
3,4661,1
3,6276,1
3,6404,1
3,6514,2
3,6530,15
3,6581,1
3,6604,1
3,6693,1
3,6885,1
3,7145,1
3,7178,1
3,7199,1
3,7264,1
3,7993,1
3,8153,1
3,8881,1
3,8960,1
3,8976,1
3,8985,1
3,9010,1
3,9030,1
3,9210,1
3,9256,1
3,9269,1
3,9347,1
3,9387,1
3,9484,1
3,10584,1
3,11911,1
3,12415,2
3,12474,1
3,13777,2
3,13790,1
3,13893,1
3,14001,1
3,14240,1
3,14423,1
3,14520,1
3,14554,1
3,14563,1
3,14619,1
3,14802,1
3,14844,1
3,15024,1
3,15335,1
3,15669,1
5,288,1
5,1002,1
5,1302,1
5,1614,1
5,1653,1
5,1692,1
5,1789,1
5,1801,1
5,1868,1
5,1896,1
5,2160,1
5,2223,1
5,2271,1
5,2395,1
5,2453,1
5,2556,1
5,2576,1
5,2613,1
5,2727,1
5,3176,1
5,5809,1
5,5875,1
5,5920,1
5,5994,1
5,6135,1
5,6204,1
5,6248,1
5,6337,1
5,6399,1
5,6438,1
5,6454,1
5,6483,1
5,6514,1
5,6546,1
5,6551,1
5,6552,1
5,6571,1
5,6639,1
5,6720,1
5,6724,1
5,6725,1
5,6816,1
5,7364,1
5,7422,1
5,7426,1
5,7632,1
5,7675,1
5,7846,1
5,8644,1
5,14379,1
5,14556,1
7,15635,1
8,38,1
8,40,1
8,115,1
8,138,1
8,158,1
8,162,1
8,207,1
8,217,1
8,604,1
8,690,1
8,726,1
8,728,1
8,899,1
8,921,1
8,958,1
8,961,1
8,1073,1
8,1140,1
8,1170,1
8,1184,1
8,1372,1
8,1407,1
8,1571,1
8,1753,1
8,1960,1
8,2013,1
8,2172,1
8,2278,1
8,2405,1
8,2523,1
8,2613,1
8,3172,1
8,3215,1
8,3481,1
8,3582,1
8,3708,1
8,3924,1
8,3930,1
8,3935,1
8,3947,1
8,4012,1
8,4028,1
8,4113,1
8,4131,1
8,5090,1
8,5248,1
8,5320,1
8,5457,1
8,5461,1
8,5486,1
8,5528,1
8,5609,1
8,5731,1
8,6554,1
8,6603,1
8,7084,1
8,8592,1
8,9914,1
8,10081,1
8,10353,1
8,10565,1
8,10573,1
8,10588,1
8,10861,1
8,10862,1
8,11531,1
8,11808,1
8,12100,1
8,12122,1
8,12413,1
8,12434,1
8,12699,1
8,12726,1
8,12923,2
8,13005,3
8,13026,1
8,13042,1
8,13048,1
8,13054,1
8,13082,2
8,13099,1
8,13107,1
8,13116,1
8,13119,1
8,13124,1
8,13203,1
8,13262,1
8,13296,1
8,13306,2
8,13316,1
8,13339,1
8,13357,1
8,13364,1
8,13367,1
8,13392,1
8,13636,1
8,13645,1
8,13657,1
8,13677,1
8,13679,1
8,13700,2
8,13702,1
8,13705,1
8,13714,1
8,13738,1
8,13745,1
8,13747,2
8,13764,1
8,13767,1
8,13853,1
8,13856,1
8,13858,1
8,13865,1
8,13872,2
8,14110,2
8,14791,1
8,15850,1
9,141,1
9,276,1
9,334,1
9,1021,1
9,1140,1
9,1631,1
9,2529,1
9,2681,1
9,2952,1
9,2998,1
9,4142,1
9,5554,1
9,5678,1
9,8821,1
9,8908,1
9,8910,1
9,9781,1
9,10002,1
9,10441,1
9,10629,1
9,11247,1
9,12433,1
9,12923,1
9,12924,1
9,12936,1
9,13105,1
9,13151,1
9,13262,1
9,13296,1
9,13353,1
9,13659,1
9,13665,1
9,13691,1
9,13699,1
9,13700,1
9,13701,1
9,13715,1
9,13840,1
9,13862,1
10,50,1
10,127,1
10,242,1
10,247,1
10,329,1
10,430,1
10,612,1
10,642,1
10,749,1
10,766,1
10,769,1
10,1017,1
10,1286,1
10,1361,1
10,1367,1
10,1423,1
10,1656,1
10,1714,1
10,1730,1
10,1733,1
10,1759,1
10,1764,1
10,1774,1
10,1809,1
10,1813,1
10,1850,1
10,1875,1
10,1877,1
10,1879,1
10,1884,1
10,1896,1
10,1917,1
10,1995,1
10,2011,1
10,2023,1
10,2033,1
10,2039,1
10,2045,1
10,2089,1
10,2145,1
10,2155,2
10,2203,1
10,2216,1
10,2229,1
10,2242,1
10,2266,1
10,2271,1
10,2275,1
10,2289,1
10,2358,1
