srg,trg,w
33,1571,1
33,1799,1
33,1959,1
33,2153,1
33,2614,1
33,13677,1
33,13871,1
50,2412,1
50,3309,1
50,12574,1
50,14183,1
50,14432,1
50,14675,1
50,14724,1
50,14806,1
56,5401,1
77,2723,1
108,1639,1
132,2544,1
206,2462,1
227,4054,1
227,4063,1
227,9153,1
310,12766,1
310,14742,1
408,9153,1
426,6398,1
426,9670,1
426,14839,1
456,9670,1
461,13330,1
479,9127,1
543,10466,1
550,9670,1
619,11509,1
619,14645,1
619,14867,1
636,10622,1
636,14499,1
655,11156,1
655,11250,1
672,13330,1
750,12965,1
804,13920,1
811,13330,1
