src trg w
238 2203 3
2118 2262 20
2138 2271 27
2254 2284 43
739 2308 7
2138 2308 12
1655 2331 21
2147 2331 30
1588 2352 22
2108 2352 35
960 2359 9
960 2369 5
1869 2369 2
2359 2369 7
963 2371 25
1829 2371 53
1861 2418 10
1862 2418 25
1972 2418 19
2085 2418 12
2352 2421 11
2108 2424 22
1011 2435 9
2371 2435 27
474 2464 13
1655 2464 26
2147 2464 24
2069 2468 21
1836 2488 4
2331 2495 33
2298 2497 10
1878 2504 21
2069 2504 14
1834 2555 15
2262 2556 12
1655 2574 37
2147 2574 40
2464 2574 22
2151 2585 7
1786 2604 31
2298 2604 15
2497 2604 15
1011 2621 6
2435 2621 31
2411 2641 18
963 2643 14
450 2648 3
1878 2648 3
1979 2648 2
329 2654 66
2118 2654 23
12 2691 10
406 2729 16
448 2735 12
601 2735 21
788 2735 27
595 2755 1
628 2755 2
716 2755 2
414 2787 3
467 2787 4
716 2787 4
743 2787 3
716 2790 3
2755 2790 1
2787 2790 1
369 2806 1
716 2806 1
2755 2806 1
871 2807 1
2435 2807 1
2555 2807 2
2830 2831 1
531 2856 4
448 2867 2
2802 2889 1
2867 2889 1
963 2903 32
2807 2906 1
521 2913 3
784 2913 2
2787 2913 2
2856 2913 2
467 2920 4
2787 2920 1
2802 2920 3
2913 2920 1
2867 2927 1
369 2932 7
2755 2932 2
2787 2932 3
2802 2932 3
564 2935 15
2802 2938 2
2889 2938 1
646 2943 5
601 2946 19
406 2963 17
2729 2963 16
2735 2964 16
601 2976 40
788 2976 37
2735 2976 24
2964 2976 29
2755 2979 1
2800 2979 4
2836 2979 3
771 2982 20
794 2982 18
459 2989 39
591 2989 11
2790 2996 1
421 2998 19
521 2998 12
784 2998 11
794 2998 42
2946 2999 17
2976 2999 22
450 3004 2
2643 3004 13
2790 3005 3
2856 3005 4
2938 3005 4
633 3008 9
2867 3016 1
369 3017 6
716 3017 5
784 3017 3
2755 3017 2
2787 3017 1
2802 3017 3
2932 3017 3
2938 3017 2
2996 3017 2
536 3021 10
3017 3021 2
369 3023 8
536 3023 18
411 3028 23
787 3028 28
452 3038 21
2976 3038 17
764 3047 4
531 3050 4
3008 3060 4
3031 3060 2
751 3067 3
2836 3067 1
3037 3067 1
329 3069 45
623 3069 27
2830 3110 4
3023 3110 5
2867 3124 1
3017 3124 2
3050 3124 3
601 3125 12
507 3127 8
2802 3158 2
2889 3158 1
3017 3158 1
770 3181 27
1613 3181 2
1367 3237 70
1613 3278 1
2830 3278 2
2831 3278 1
3110 3278 2
3158 3278 1
406 3313 8
2729 3313 12
2889 3355 2
2856 3390 1
2787 3420 1
2856 3420 1
2913 3420 1
2920 3420 1
3355 3420 2
2889 3439 1
507 3444 8
521 3444 5
2787 3444 2
2802 3444 2
2856 3444 3
2920 3444 2
2932 3444 4
2979 3464 5
1367 3485 8
406 3529 7
2729 3529 9
2359 3533 20
2147 3536 28
445 3547 17
719 3547 26
2903 3558 5
2787 3583 1
2802 3583 2
2913 3583 1
2920 3583 2
3017 3583 1
3158 3583 1
3420 3583 1
2108 3628 28
1972 3629 18
3004 3640 1
1972 3643 13
3640 3643 7
2085 3658 10
3643 3666 24
3628 3679 16
3643 3706 19
1405 3711 1
3711 3742 9
0 3769 1
3142 3769 1
1187 3839 1
1971 3839 1
3796 3839 5
3755 3849 6
3839 3864 5
2806 3889 1
3720 3889 12
3889 3923 6
2787 3924 1
3420 3924 1
3583 3924 1
3649 3924 16
3708 3924 11
3629 3930 16
3658 3930 4
3742 3930 12
3769 3930 1
1266 3949 3
3629 3949 7
3711 3949 3
3742 3949 5
3640 3950 6
3643 3950 20
3706 3950 32
3925 3951 16
3649 3989 15
3720 3989 13
3902 3989 18
2424 3990 8
3951 3990 11
3902 4004 7
3720 4007 50
3923 4021 6
3708 4026 94
3923 4040 23
3640 4044 2
3951 4051 19
3640 4056 13
3706 4056 22
3950 4056 73
4051 4086 18
3649 4092 26
4026 4092 13
3945 4099 16
4051 4101 13
4094 4101 10
4009 4103 7
4027 4103 5
3951 4107 24
4051 4107 47
4092 4107 2
4101 4107 29
3629 4125 30
3930 4125 16
4099 4125 20
3711 4153 12
4051 4153 33
4107 4153 48
3640 4156 10
3643 4156 29
3950 4156 36
4056 4156 72
3769 4162 1
3796 4162 2
3839 4162 1
3796 4167 12
3839 4167 3
3839 4170 2
3796 4174 6
3839 4174 2
4167 4174 7
3839 4198 2
4167 4198 6
4170 4198 3
2787 4203 1
2913 4203 2
3127 4203 2
3420 4203 1
3583 4203 1
3796 4203 7
3839 4203 4
4162 4203 2
4167 4203 6
4174 4203 5
3864 4209 2
4162 4209 1
4174 4209 4
4203 4209 3
458 4248 1
3142 4248 1
3769 4248 1
4162 4248 2
4167 4248 1
3839 4262 2
4167 4262 4
3796 4264 10
3839 4264 3
3864 4264 11
4209 4264 4
4262 4264 4
3796 4266 7
3864 4266 5
4167 4266 4
4198 4266 5
4262 4266 5
4264 4266 5
3796 4276 6
4167 4276 7
4174 4276 5
4203 4276 3
3796 4282 13
4167 4282 13
4198 4282 9
4203 4282 7
4262 4282 5
4266 4282 7
4276 4282 7
3796 4288 13
4174 4288 7
4203 4288 6
4276 4288 5
4282 4288 17
4170 4292 4
4266 4292 6
3769 4306 1
4162 4306 3
4248 4306 1
4174 4321 6
4262 4321 4
4276 4321 4
4282 4321 10
3769 4341 1
4162 4341 2
4248 4341 1
4306 4341 2
3796 4342 15
3839 4342 3
4167 4342 8
4174 4342 8
4262 4342 5
4266 4342 5
4276 4342 8
4282 4342 13
4288 4342 13
4292 4342 9
3796 4345 17
3839 4345 7
4167 4345 20
4203 4345 9
4276 4345 23
4282 4345 23
4288 4345 17
4342 4345 20
3864 4356 11
4264 4356 14
4341 4356 3
505 4359 1
3769 4359 1
4162 4359 1
4248 4359 2
4306 4359 1
4341 4359 1
3769 4361 1
4162 4361 4
4248 4361 3
4276 4361 2
4306 4361 9
4341 4361 4
4345 4361 5
4359 4361 2
3769 4372 1
4162 4372 4
4248 4372 1
4306 4372 9
4359 4372 2
4361 4372 8
4203 4373 5
4292 4373 7
4345 4373 8
3769 4376 1
3864 4376 8
4162 4376 2
4167 4376 4
4248 4376 1
4356 4376 14
826 4381 1
3839 4381 3
4174 4381 7
4203 4381 6
4266 4381 3
4276 4381 3
4292 4381 4
4321 4381 10
4342 4381 4
3839 4384 4
3864 4384 7
4167 4384 15
4174 4384 8
4209 4384 4
4264 4384 13
4276 4384 7
4288 4384 12
4342 4384 10
4345 4384 15
4361 4384 4
4381 4384 4
3796 4390 3
3839 4390 1
3864 4390 3
4264 4390 4
4341 4390 1
4381 4390 2
4356 4409 9
4376 4409 3
3769 4410 1
4162 4410 5
4248 4410 2
4306 4410 5
4341 4410 4
4361 4410 6
4372 4410 9
3796 4412 17
3839 4412 4
4167 4412 13
4198 4412 10
4203 4412 8
4276 4412 10
4282 4412 17
4342 4412 11
4345 4412 31
4384 4412 21
3796 4417 17
3839 4417 4
4167 4417 9
4174 4417 10
4209 4417 5
4276 4417 8
4282 4417 16
4288 4417 12
4306 4417 5
4321 4417 10
4342 4417 11
4345 4417 23
4361 4417 6
3769 4426 1
4162 4426 5
4248 4426 1
4306 4426 4
4341 4426 3
4361 4426 5
4372 4426 3
4410 4426 6
3769 4429 1
4248 4429 1
4306 4429 2
4341 4429 2
4359 4429 4
4361 4429 4
2787 4487 1
2913 4487 1
2920 4487 1
3420 4487 1
3583 4487 1
4282 4487 4
4345 4487 6
4390 4487 1
3769 4588 1
3839 4588 2
4209 4588 2
4248 4588 1
4306 4588 2
4361 4588 2
4412 4588 4
3769 4614 1
3864 4614 22
4174 4614 13
4248 4614 3
4288 4614 12
4341 4614 5
4342 4614 12
4356 4614 35
4361 4614 4
4372 4614 6
4376 4614 15
4409 4614 7
4417 4614 23
3796 4618 5
3839 4618 3
4167 4618 3
4282 4618 4
4306 4618 2
4342 4618 5
4345 4618 6
4390 4618 2
4487 4618 1
3769 4646 1
4162 4646 2
4248 4646 2
4341 4646 4
4361 4646 6
4372 4646 3
4410 4646 15
4426 4646 4
2648 4655 1
3864 4655 1
4426 4655 1
3769 4668 1
4209 4668 3
4248 4668 1
4372 4668 2
4376 4668 4
4410 4668 5
4203 4692 3
4248 4692 1
4345 4692 5
4412 4692 3
4618 4692 1
1861 4847 2
3950 4847 4
3708 4922 13
3924 4922 4
4026 4922 17
3629 5092 18
4107 5092 25
4107 5190 26
4152 5190 19
5092 5190 51
3629 5219 15
4107 5219 17
5092 5219 24
5190 5219 22
4004 5241 46
4021 5241 36
4004 5259 9
5241 5259 42
3902 5401 33
3989 5401 55
3720 5412 73
4040 5412 16
4153 5416 20
4152 5455 29
5190 5455 11
871 5457 1
3755 5457 2
3902 5457 2
3923 5458 5
3945 5482 17
4099 5482 21
4099 5498 16
4125 5498 23
5482 5498 12
4086 5500 52
3666 5504 78
4125 5504 43
3643 5669 7
3950 5669 15
4056 5669 10
3708 5738 7
3839 5777 2
4276 5777 3
4373 5777 5
4381 5777 4
3037 5806 2
2996 5836 1
3017 5836 1
3021 5836 3
1683 5916 4
2889 5916 1
3158 5916 1
5780 6356 3
2889 6390 1
5916 6390 2
1405 6401 1
3181 6401 5
2331 6455 16
1683 6581 21
1683 6603 6
6119 6658 5
1405 6767 1
3536 6918 29
4390 6924 1
4390 7126 5
4487 7126 2
4618 7126 3
4692 7126 2
4167 7127 12
4174 7127 14
4203 7127 12
4282 7127 27
4288 7127 16
4342 7127 15
4345 7127 27
4384 7127 14
4412 7127 15
4417 7127 23
4618 7127 5
4692 7127 3
5777 7127 7
3839 7128 4
4381 7128 6
5777 7128 6
4162 7129 10
4248 7129 5
4306 7129 15
4341 7129 7
4372 7129 16
4410 7129 53
4426 7129 14
4646 7129 27
3796 7130 49
4167 7130 19
4282 7130 44
4292 7130 30
4342 7130 53
4345 7130 55
4373 7130 18
4618 7130 17
2755 7133 1
3839 7133 3
4276 7133 8
4342 7133 7
4412 7133 8
3864 7136 12
4203 7136 10
4614 7136 20
7130 7136 32
4342 7139 10
4373 7139 7
4390 7139 3
7130 7139 30
4266 7140 16
4282 7140 33
4288 7140 22
4292 7140 18
4373 7140 14
4381 7140 12
4412 7140 36
7127 7140 33
7129 7140 17
7130 7140 102
7139 7140 25
4167 7141 10
4276 7141 8
4342 7141 21
4588 7141 4
7130 7141 42
7140 7141 24
3769 7142 1
4162 7142 3
4306 7142 5
4341 7142 5
4361 7142 6
4372 7142 8
4646 7142 6
7129 7142 17
4264 7143 10
4390 7143 6
4321 7146 21
7127 7146 24
7128 7146 31
4162 7147 9
4248 7147 6
4306 7147 12
4361 7147 16
4372 7147 13
4410 7147 51
4614 7147 17
4646 7147 21
7129 7147 106
7142 7147 15
3769 7148 1
4162 7148 3
4248 7148 3
4306 7148 6
4341 7148 3
4361 7148 8
4372 7148 3
4429 7148 3
7143 7148 4
3769 7150 1
4668 7150 8
5777 7150 6
7127 7150 17
4292 7151 21
4381 7151 10
7130 7151 59
7140 7151 30
3839 7155 7
4167 7155 15
4276 7155 11
4282 7155 17
4345 7155 19
4412 7155 16
4417 7155 16
7133 7155 11
4342 7158 29
4345 7158 32
7126 7158 30
7130 7158 112
7139 7158 31
7140 7158 74
7141 7158 24
7146 7158 36
7151 7158 31
7154 7158 37
4282 7161 20
7128 7161 21
7150 7161 16
7158 7161 39
3769 7162 1
4162 7162 4
4306 7162 5
4341 7162 7
4361 7162 7
4426 7162 10
4646 7162 8
7147 7162 18
7148 7162 4
3769 7163 1
4162 7163 2
4248 7163 2
4306 7163 4
4341 7163 2
4359 7163 10
4361 7163 3
4372 7163 4
4429 7163 6
4588 7163 2
4655 7163 3
3769 7166 1
4306 7166 6
4341 7166 3
4361 7166 4
4426 7166 10
7162 7166 9
3769 7173 2
4162 7173 5
4361 7173 9
4372 7173 8
4426 7173 12
7129 7173 25
7147 7173 22
7148 7173 8
7162 7173 14
7163 7173 9
7166 7173 8
4162 7178 5
4306 7178 11
4341 7178 9
4361 7178 14
4372 7178 8
4429 7178 5
4614 7178 16
7129 7178 31
7147 7178 27
7148 7178 19
7163 7178 8
7173 7178 20
3769 7182 1
4162 7182 6
4248 7182 2
4306 7182 7
4341 7182 6
4361 7182 6
4372 7182 5
4426 7182 22
7148 7182 5
7162 7182 7
7173 7182 17
4162 7183 7
4248 7183 5
4306 7183 11
4341 7183 6
4359 7183 9
4361 7183 17
4372 7183 19
4426 7183 20
7142 7183 13
7148 7183 9
7162 7183 14
7163 7183 12
7173 7183 27
7178 7183 23
7182 7183 18
7127 7187 15
7136 7187 20
4321 7188 18
4342 7188 14
4381 7188 10
7140 7188 31
7146 7188 30
7130 7189 62
7139 7189 22
7140 7189 44
7151 7189 29
7154 7189 25
7158 7189 70
7188 7189 33
4426 7190 17
7182 7190 17
4167 7192 29
4276 7192 21
4282 7192 36
4342 7192 40
4345 7192 45
4373 7192 20
4412 7192 43
7130 7192 119
7140 7192 78
7141 7192 58
7155 7192 38
7158 7192 65
7161 7192 56
7188 7192 41
4162 7194 7
4248 7194 3
4306 7194 12
4359 7194 6
4361 7194 14
4372 7194 15
7142 7194 12
7148 7194 7
7162 7194 12
7163 7194 9
7173 7194 16
7183 7194 58
4203 7195 11
7162 7195 11
3839 7204 5
3864 7204 14
4209 7204 5
4356 7204 14
3769 7209 1
4209 7209 6
4356 7209 16
4376 7209 13
4614 7209 22
7136 7209 17
7187 7209 12
7204 7209 12
3769 7216 1
4614 7216 11
7151 7216 12
4209 7218 10
7195 7218 12
7204 7218 17
7140 7227 32
7141 7227 19
7161 7227 35
7188 7227 48
7192 7227 45
7204 7227 18
3769 7228 1
4306 7228 14
4359 7228 3
4361 7228 6
7163 7228 4
7183 7228 14
7194 7228 13
4282 7230 22
7140 7230 51
7192 7230 36
3769 7231 1
4162 7231 4
4248 7231 3
4306 7231 6
4359 7231 11
4361 7231 7
4372 7231 5
4429 7231 5
7147 7231 18
7163 7231 26
7178 7231 13
7183 7231 16
7228 7231 6
4356 7236 42
4376 7236 20
4417 7236 23
4614 7236 77
7155 7236 9
7209 7236 40
7216 7236 16
4306 7238 4
7178 7238 7
7228 7238 3
7189 7241 16
4390 7247 4
7143 7247 14
7189 7247 16
7241 7247 8
1631 7325 1
1405 7353 1
2906 7353 1
4044 7581 1
5738 7581 1
6139 7640 101
2787 7942 1
5347 7942 1
7939 7945 18
2831 7948 1
7945 7959 8
1008 7960 1
1011 7960 1
6401 7960 1
7939 7975 8
7945 8008 21
7959 8008 5
871 8014 1
2020 8014 1
6281 8014 1
7975 8014 2
3060 8021 1
5347 8021 1
7945 8024 31
8008 8024 10
5457 8029 1
7942 8069 3
7975 8069 7
8014 8069 2
3047 8077 1
8024 8080 9
7939 8092 18
8029 8092 6
8049 8092 8
8014 8096 1
8029 8099 4
8049 8099 5
2889 8100 1
5916 8100 2
7942 8101 6
7975 8101 8
8014 8103 2
8014 8105 2
8071 8105 15
7945 8109 51
7959 8109 10
8008 8109 22
8024 8109 17
8080 8109 25
1971 8137 1
7945 8137 6
7993 8137 2
8096 8137 1
1405 8142 1
7353 8142 1
8109 8145 10
8029 8158 2
1266 8162 2
8077 8162 1
8014 8163 3
7959 8173 2
8137 8173 1
2020 8180 1
7993 8180 1
8173 8180 1
1008 8191 1
1011 8191 1
7960 8191 1
7975 8197 7
8014 8197 2
8071 8197 19
8105 8197 17
871 8198 1
2020 8198 1
6281 8198 1
8014 8198 1
8096 8198 1
7960 8247 2
8158 8247 2
8198 8247 1
7942 8251 3
2787 8258 1
2913 8258 1
2920 8258 1
3420 8258 1
3583 8258 1
4487 8258 1
6119 8296 1
8049 8297 11
7993 8324 1
8021 8324 1
8105 8324 2
8191 8324 1
7948 8334 3
8173 8334 3
8173 8353 1
7959 8357 6
8109 8357 20
8145 8357 11
1008 8366 1
1011 8366 2
2648 8366 1
8071 8366 10
8197 8366 6
4487 8377 1
1405 8384 1
6401 8384 2
6767 8384 1
3278 8388 1
5259 8388 1
5457 8388 1
8021 8388 1
8029 8388 1
8388 8394 2
8258 8398 1
2889 8403 1
8071 8405 59
8197 8405 16
7959 8412 2
8297 8412 2
8334 8412 3
8353 8412 1
8357 8412 5
2920 8415 1
8384 8415 1
7945 8420 49
8071 8420 23
8198 8433 1
7959 8437 6
8008 8437 18
8420 8440 13
8437 8440 9
7945 8445 89
8109 8445 65
8357 8445 18
8437 8445 49
8357 8450 15
8437 8450 21
