src trg nij
1011 1405 61
1250 1405 92
1352 1405 20
732 1407 176
29 1577 22
290 1577 22
858 1577 151
145 1613 100
289 1613 109
676 1613 80
706 1613 144
798 1613 169
827 1613 86
286 1615 259
319 1615 144
334 1615 86
661 1615 495
670 1615 375
1273 1615 147
1282 1615 288
1526 1615 175
1567 1615 483
9 1631 148
86 1631 90
276 1631 99
881 1631 172
1032 1631 84
1058 1631 468
1072 1631 92
1074 1631 80
1187 1631 99
1212 1631 84
1239 1631 56
1278 1631 87
1319 1631 78
1337 1631 100
1524 1631 90
1557 1631 84
1560 1631 67
1568 1631 86
304 1641 126
548 1641 168
552 1641 87
980 1641 123
1022 1641 123
1540 1641 112
42 1683 67
153 1683 54
1641 1683 173
87 1738 68
821 1738 59
1300 1738 58
1497 1738 109
75 1828 74
87 1828 40
295 1828 39
1113 1828 42
1611 1828 44
329 1850 157
121 1861 33
155 1861 113
334 1861 111
1033 1861 33
1718 1861 87
1718 1862 102
1861 1862 170
767 1922 93
953 1922 102
1685 1922 82
1728 1922 83
1914 1922 81
1716 1924 280
1294 1929 100
1686 1929 49
1000 1971 56
1263 1971 61
1356 1971 49
1728 1971 54
1822 1971 49
1839 1971 44
128 1979 21
828 1979 26
1473 1979 25
1976 1979 117
128 2020 55
376 2020 87
435 2020 114
906 2020 117
1092 2020 133
1722 2020 96
1991 2020 71
59 2049 63
784 2049 319
1929 2069 161
1861 2085 152
1972 2085 181
503 2098 25
42 2145 66
417 2145 76
1426 2145 71
1594 2145 62
1652 2145 78
1701 2145 81
1823 2145 52
2005 2145 70
1655 2147 486
1863 2147 563
2001 2147 526
349 2211 33
2118 2262 136
2254 2284 191
1541 2298 8
2097 2308 65
34 2331 159
882 2331 134
2188 2352 151
2305 2359 336
2339 2359 405
104 2369 86
711 2369 229
872 2369 469
960 2369 242
1564 2369 299
1594 2369 132
1713 2369 322
1757 2369 313
2102 2369 119
2305 2369 115
374 2395 150
1842 2395 115
162 2411 283
325 2411 283
1420 2411 101
1813 2411 139
1895 2411 294
2186 2411 374
2320 2411 265
2087 2424 103
2188 2424 155
2277 2424 99
772 2464 486
2370 2468 177
402 2495 300
2509 2555 90
1329 2556 19
453 2566 30
2341 2566 12
34 2574 400
1423 2574 80
1751 2574 448
322 2607 40
774 2607 63
1326 2607 41
168 2621 34
1011 2621 188
2435 2621 449
2320 2641 209
2411 2641 175
450 2648 66
833 2648 42
1030 2648 49
1045 2648 25
1280 2648 45
1773 2648 25
1979 2648 37
2105 2648 34
2175 2648 33
2394 2648 30
2551 2648 17
2563 2648 33
2638 2648 66
439 2667 35
2205 2667 83
331 2691 120
542 2691 108
746 2691 100
767 2691 100
888 2691 103
1607 2691 111
2723 2729 253
367 2735 578
405 2735 158
428 2735 157
776 2735 244
2728 2735 103
488 2755 35
579 2755 95
582 2755 120
595 2755 135
716 2755 151
2680 2755 281
547 2768 151
668 2768 112
2024 2768 232
2700 2768 212
369 2787 134
414 2787 198
467 2787 220
475 2787 243
595 2787 128
716 2787 298
784 2787 188
805 2787 209
2685 2787 270
2742 2787 123
2777 2787 571
399 2790 103
403 2790 223
475 2790 137
532 2790 169
716 2790 192
2675 2790 149
2685 2790 172
2755 2790 192
2773 2790 555
2777 2790 175
2787 2790 178
574 2800 172
2068 2800 85
2690 2800 209
2718 2800 61
2794 2800 82
475 2802 393
1903 2802 128
2711 2802 128
2724 2802 285
2732 2802 185
2768 2802 185
2773 2802 243
2777 2802 238
399 2806 147
589 2806 92
865 2806 714
2755 2806 434
113 2807 32
156 2807 56
418 2807 44
1499 2807 26
1531 2807 27
1787 2807 76
1830 2807 48
1973 2807 23
1990 2807 41
1994 2807 31
2012 2807 48
2065 2807 41
2114 2807 44
2322 2807 45
2343 2807 39
2673 2807 82
2791 2807 25
561 2830 144
2024 2830 192
2686 2830 138
2739 2830 266
2765 2830 188
2801 2830 217
2818 2830 192
124 2831 67
1608 2831 222
2318 2831 101
2678 2831 338
2706 2831 166
2757 2831 215
2761 2831 212
2675 2836 447
2778 2836 151
531 2856 254
575 2856 185
660 2856 123
2760 2856 208
2789 2856 135
2790 2856 111
574 2867 136
582 2867 123
998 2867 227
2061 2867 625
2064 2867 82
2671 2867 131
2679 2867 303
2697 2867 151
2791 2867 40
2860 2867 114
547 2889 208
574 2889 135
717 2889 151
731 2889 136
998 2889 222
2061 2889 588
2677 2889 434
2697 2889 149
2769 2889 256
2802 2889 277
2823 2889 238
2836 2889 188
2860 2889 113
2867 2889 416
2886 2889 172
753 2903 157
2807 2906 21
403 2913 80
521 2913 194
575 2913 119
784 2913 173
1721 2913 215
2739 2913 158
2770 2913 153
2787 2913 465
2843 2913 263
2856 2913 259
2911 2913 163
475 2920 347
582 2920 183
2680 2920 204
2714 2920 138
2731 2920 192
2787 2920 172
2795 2920 208
2802 2920 483
2852 2920 163
2872 2920 140
2873 2920 377
2891 2920 153
2913 2920 149
2694 2927 227
369 2932 386
421 2932 245
516 2932 432
743 2932 248
2680 2932 458
2685 2932 135
2715 2932 156
2755 2932 298
2777 2932 277
2787 2932 428
2802 2932 394
2810 2932 151
2837 2932 444
2851 2932 156
2856 2932 288
2863 2932 289
2871 2932 147
2877 2932 153
2889 2932 149
2898 2932 153
1988 2935 44
2908 2935 86
314 2938 104
580 2938 451
1467 2938 126
2810 2938 113
2851 2938 116
2858 2938 212
2872 2938 188
2889 2938 112
375 2946 174
761 2946 357
2933 2946 268
382 2957 571
506 2957 397
2074 2957 94
2848 2957 172
2924 2957 80
2941 2957 166
2951 2957 185
406 2963 346
480 2963 248
2723 2963 149
2729 2963 321
2914 2963 374
788 2964 275
390 2976 213
546 2976 28
2964 2976 539
2973 2976 553
295 2979 114
518 2979 125
552 2979 175
2743 2979 140
2755 2979 138
2765 2979 138
2771 2979 149
2800 2979 235
2836 2979 309
2850 2979 153
2863 2979 273
2872 2979 227
2889 2979 140
2894 2979 147
788 2982 121
738 2989 150
2834 2989 33
595 2996 219
743 2996 90
2054 2996 285
2782 2996 227
2790 2996 142
2804 2996 131
2810 2996 232
2837 2996 142
2874 2996 238
2945 2996 192
2990 2996 147
794 2998 600
2796 2999 293
2973 2999 541
585 3004 74
1294 3004 129
1533 3004 58
2643 3004 130
2797 3004 74
2071 3005 303
2724 3005 142
2790 3005 315
2802 3005 246
2837 3005 315
2851 3005 147
2856 3005 373
2889 3005 140
2898 3005 144
2938 3005 303
2959 3005 212
565 3008 533
2853 3008 76
2976 3008 214
640 3009 122
2924 3009 64
2928 3009 84
960 3016 46
2781 3016 76
2867 3016 77
2897 3016 76
319 3017 192
369 3017 372
475 3017 289
657 3017 119
716 3017 335
784 3017 247
2743 3017 217
2755 3017 434
2777 3017 392
2787 3017 196
2802 3017 545
2863 3017 204
2932 3017 348
2938 3017 183
2996 3017 312
3012 3017 400
2828 3021 175
3012 3021 197
3017 3021 139
1523 3023 68
2004 3023 102
2893 3023 381
2926 3023 283
2932 3023 135
3021 3023 198
411 3028 451
2892 3031 204
518 3037 105
2737 3037 235
2752 3037 176
3036 3037 107
1445 3038 62
2725 3038 164
2887 3038 170
2915 3038 471
2764 3041 105
2801 3041 133
2822 3041 126
2853 3041 129
2887 3041 112
2940 3041 265
14 3047 204
357 3047 105
429 3047 62
764 3047 196
1524 3047 185
2072 3047 232
2701 3047 196
2746 3047 131
2778 3047 149
2896 3047 208
3000 3047 217
3036 3047 163
56 3050 175
438 3050 52
531 3050 283
580 3050 315
1652 3050 227
2690 3050 307
2731 3050 434
2821 3050 217
2852 3050 178
2863 3050 196
2959 3050 138
2996 3050 149
75 3060 144
304 3060 222
554 3060 181
2684 3060 99
2764 3060 408
2770 3060 161
2861 3060 333
2962 3060 217
3007 3060 178
3008 3060 281
3031 3060 176
3056 3060 212
130 3067 90
405 3067 112
2709 3067 344
2714 3067 204
2811 3067 263
2836 3067 172
2958 3067 136
2968 3067 185
3013 3067 192
3037 3067 109
1753 3069 179
2893 3091 355
2975 3091 362
518 3110 175
2690 3110 307
2749 3110 90
2761 3110 204
2818 3110 208
2830 3110 555
2874 3110 217
3023 3110 396
3077 3110 175
2766 3120 186
475 3124 372
595 3124 344
2485 3124 126
2718 3124 93
2724 3124 142
2731 3124 142
2773 3124 266
2777 3124 263
2802 3124 246
2867 3124 142
3017 3124 219
3050 3124 326
3121 3124 101
1005 3125 47
2936 3125 212
249 3127 119
2757 3127 370
2815 3127 149
2847 3127 166
3059 3127 140
3060 3127 135
3074 3127 222
2395 3134 120
2035 3142 44
1608 3158 588
2679 3158 370
2725 3158 312
2761 3158 526
2777 3158 416
2812 3158 1000
2820 3158 526
2831 3158 256
2873 3158 1111
2881 3158 1000
2889 3158 555
3017 3158 256
3110 3158 243
3117 3158 294
710 3169 22
653 3181 68
770 3181 262
1545 3215 4
2333 3237 111
2063 3278 263
2678 3278 158
2706 3278 158
2830 3278 266
2871 3278 200
3110 3278 281
3117 3278 153
3158 3278 238
3182 3278 204
1418 3286 164
2622 3286 169
3025 3313 404
2074 3355 151
2765 3355 131
2781 3355 131
2889 3355 270
2918 3355 487
2924 3355 117
2951 3355 162
3310 3355 149
834 3390 303
2700 3390 344
2760 3390 172
2769 3390 256
2778 3390 263
2822 3390 434
2856 3390 156
2932 3390 149
3012 3390 178
3129 3390 200
3307 3390 416
211 3398 13
35 3420 120
987 3420 294
1349 3420 140
2018 3420 102
2081 3420 126
2131 3420 116
2787 3420 416
2796 3420 98
2856 3420 172
2913 3420 303
2920 3420 212
3037 3420 125
3267 3420 129
3355 3420 294
3387 3420 120
175 3439 86
795 3439 100
2072 3439 138
2701 3439 125
2743 3439 120
2802 3439 106
2848 3439 117
2889 3439 120
3000 3439 165
475 3444 109
2697 3444 155
2718 3444 80
2773 3444 107
2787 3444 217
2856 3444 240
2932 3444 314
3366 3444 126
3381 3444 131
434 3456 175
546 3456 144
2681 3456 67
2712 3456 270
2731 3456 303
2852 3456 238
2893 3456 161
2920 3456 161
3013 3456 178
3050 3456 175
3074 3456 161
3124 3456 125
510 3464 245
541 3464 276
582 3464 410
2937 3464 263
3000 3464 109
3036 3464 132
3056 3464 194
3205 3464 74
3373 3464 72
3383 3464 74
3226 3485 34
1592 3529 64
3303 3529 68
3471 3529 67
373 3533 337
777 3547 213
1161 3547 31
2035 3547 32
2698 3547 63
2935 3547 159
3263 3547 106
3275 3547 81
2690 3583 250
2777 3583 357
2787 3583 370
2802 3583 625
2837 3583 208
2863 3583 400
2873 3583 434
2913 3583 277
2920 3583 408
2938 3583 116
2994 3583 200
3014 3583 169
3017 3583 232
3129 3583 212
3158 3583 666
3303 3583 769
3420 3583 625
3426 3583 512
3514 3583 196
3555 3583 166
740 3629 89
1549 3629 139
585 3640 31
2267 3640 40
2408 3640 77
3637 3640 197
203 3658 44
2290 3658 115
3627 3679 365
3667 3679 124
3676 3679 50
1064 3706 9
3625 3708 182
3665 3708 156
2629 3711 40
3656 3711 63
3652 3755 113
0 3769 29
3142 3769 45
1971 3839 47
2847 3839 151
3376 3839 140
3568 3839 51
3796 3839 111
3801 3839 161
1723 3849 19
3623 3849 62
3652 3849 110
3687 3849 99
1242 3864 66
1262 3864 53
3763 3864 69
3777 3864 68
3781 3864 136
3829 3864 64
3839 3864 256
3841 3864 169
3843 3864 250
865 3889 46
2806 3889 45
3188 3889 46
154 3902 21
3707 3923 117
3729 3923 126
3740 3923 143
916 3924 25
1222 3924 24
3634 3924 323
3663 3924 150
3700 3924 106
3715 3924 430
3635 3930 744
1285 3945 42
3656 3949 61
3706 3950 122
3725 3950 100
3897 3950 85
3751 4004 125
3948 4004 227
3720 4007 253
3901 4007 119
1346 4009 29
1695 4009 29
3639 4009 267
3648 4009 197
3630 4021 166
3665 4026 93
3708 4026 280
4008 4026 198
4019 4026 299
3703 4027 213
3895 4027 206
3626 4040 164
3729 4040 152
3740 4040 166
3741 4040 348
3748 4040 150
3892 4040 256
3966 4040 227
1150 4044 47
2675 4044 46
3993 4051 108
3685 4056 138
3950 4056 205
4053 4056 160
3958 4074 227
3749 4086 402
4083 4086 333
3959 4092 73
3682 4099 153
72 4103 65
1321 4103 68
3648 4103 104
3736 4103 291
3895 4103 137
200 4107 6
3643 4156 106
3897 4156 89
4053 4156 190
4056 4156 201
354 4162 91
875 4162 82
1102 4162 111
3769 4162 126
3789 4162 217
3790 4162 169
3807 4162 126
3834 4162 89
3839 4162 74
4159 4162 103
1 4167 128
1473 4167 49
3759 4167 66
3764 4167 66
3796 4167 225
3821 4167 98
3839 4167 147
3841 4167 108
3856 4167 64
4159 4167 59
4160 4167 66
4163 4167 155
996 4170 116
2739 4170 181
3103 4170 89
3188 4170 125
3534 4170 125
3839 4170 153
3881 4170 125
1851 4174 55
4180 4198 99
2913 4203 93
3759 4203 52
3792 4203 51
3796 4203 121
3839 4203 165
3841 4203 89
3844 4203 140
3875 4203 50
4167 4203 180
4176 4203 110
4185 4203 198
4197 4203 121
1851 4209 82
3090 4209 59
3765 4209 120
3772 4209 133
3775 4209 138
3821 4209 78
3844 4209 102
3885 4209 99
4023 4209 97
4174 4209 201
4191 4209 104
4192 4209 370
4199 4209 78
4201 4209 194
4203 4209 116
4208 4209 100
1 4248 84
2977 4248 63
3769 4248 303
3838 4248 158
4160 4248 294
4162 4248 185
4163 4248 128
4172 4248 119
4212 4248 178
4218 4248 99
4237 4248 108
2683 4262 178
2981 4262 84
3050 4262 135
3456 4262 166
3783 4262 169
3790 4262 125
3801 4262 227
3839 4262 212
3846 4262 156
3877 4262 196
4170 4262 178
4180 4262 140
4213 4262 215
4215 4262 238
4220 4262 166
4231 4262 158
3865 4264 252
4259 4264 193
3781 4266 86
3782 4266 90
3783 4266 155
3821 4266 184
3877 4266 174
3879 4266 89
4183 4266 78
4211 4266 192
4220 4266 76
4224 4266 76
4227 4266 76
4262 4266 347
1514 4276 81
3767 4276 83
3772 4276 90
3797 4276 89
3813 4276 83
3825 4276 83
3844 4276 150
4167 4276 280
4178 4276 70
4185 4276 371
4202 4276 206
4222 4276 222
4224 4276 77
4234 4276 152
4241 4276 145
4242 4276 355
4257 4276 245
4261 4276 236
3810 4282 21
4242 4282 130
1077 4288 40
3803 4288 40
4174 4288 192
4181 4288 98
4215 4288 177
4222 4288 150
171 4292 41
179 4292 41
3780 4292 42
28 4306 99
889 4306 101
3761 4306 102
3762 4306 95
3769 4306 107
3772 4306 105
3807 4306 107
4162 4306 179
4169 4306 152
4179 4306 147
4186 4306 336
4194 4306 81
4208 4306 168
4212 4306 353
4221 4306 155
4238 4306 236
4245 4306 88
4248 4306 81
4263 4306 79
4267 4306 310
4274 4306 90
4277 4306 86
4286 4306 267
4289 4306 86
4290 4306 254
4298 4306 273
4300 4306 184
4164 4321 325
3497 4341 128
3769 4341 135
3790 4341 87
3807 4341 135
3832 4341 121
3878 4341 121
4162 4341 134
4165 4341 98
4171 4341 85
4179 4341 258
4208 4341 99
4216 4341 192
4229 4341 106
4238 4341 183
4248 4341 96
4251 4341 103
4263 4341 93
4277 4341 104
4289 4341 103
4296 4341 134
4306 4341 122
4334 4341 111
3778 4342 71
4239 4342 71
4243 4342 36
4276 4342 218
4288 4342 264
4167 4345 306
4242 4345 154
4246 4345 172
4276 4345 377
1535 4356 24
3843 4356 222
4166 4356 133
4204 4356 268
4230 4356 307
4247 4356 131
4322 4356 41
4352 4356 159
505 4359 78
888 4359 105
3757 4359 113
3764 4359 123
3769 4359 123
3790 4359 82
4182 4359 116
4208 4359 92
4218 4359 344
4248 4359 181
4267 4359 168
4290 4359 205
4300 4359 198
4327 4359 97
4331 4359 86
2029 4361 89
3769 4361 96
3789 4361 84
4162 4361 225
4179 4361 347
4186 4361 151
4208 4361 232
4212 4361 491
4216 4361 225
4219 4361 141
4238 4361 367
4248 4361 227
4267 4361 212
4289 4361 240
4298 4361 263
4300 4361 172
4306 4361 483
4312 4361 209
4334 4361 193
4341 4361 232
4359 4361 110
3761 4372 80
3769 4372 84
3789 4372 75
4162 4372 208
4179 4372 186
4186 4372 136
4193 4372 67
4208 4372 137
4212 4372 362
4216 4372 134
4277 4372 142
4289 4372 214
4306 4372 447
4312 4372 254
4319 4372 55
4359 4372 102
4361 4372 375
3792 4373 49
3837 4373 50
4181 4373 152
4351 4373 175
3769 4376 58
3829 4376 223
4210 4376 169
4233 4376 176
4354 4376 95
4360 4376 203
4369 4376 173
3757 4381 90
3763 4381 97
3829 4381 87
3856 4381 91
4164 4381 408
4173 4381 240
4174 4381 309
4321 4381 325
4375 4381 361
3764 4384 44
4174 4384 229
4177 4384 252
4280 4384 326
261 4390 81
3433 4390 185
3763 4390 222
3793 4390 188
3801 4390 204
3856 4390 196
4171 4390 113
4181 4390 89
4201 4390 238
4229 4390 312
4245 4390 153
4247 4390 108
4249 4390 163
4267 4390 119
4281 4390 333
4314 4390 113
4367 4390 252
4381 4390 138
4385 4390 253
4168 4409 153
4352 4409 100
4386 4409 149
4372 4410 196
4399 4410 132
972 4412 25
3834 4412 250
4242 4412 180
4332 4412 520
4339 4412 238
4345 4412 353
3797 4417 34
3841 4417 126
3864 4417 239
4323 4417 152
