id name province latitude longitude
4326 4326 MS 10.111646 43.9997
4476 4476 MS 10.09554 44.01005
13813 13813 GR 11.322681 42.644653
10439 10439 LI 10.538103 43.17876
13252 13252 GR 10.757001 42.919537
13785 13785 GR 10.924221 42.893913
11240 11240 PI 10.368063 43.773106
14394 14394 LU 10.48487 44.073814
14652 14652 LU 10.243746 43.86622
15680 15680 LU 10.557552 43.9986
14472 14472 LU 10.250663 43.86444
15787 15787 LU 10.494887 44.040947
14583 14583 LU 10.245976 43.86654
4324 4324 MS 10.14391 44.034157
14383 14383 LU 10.245409 43.865852
7253 7253 MS 10.136301 43.982124
7139 7139 MS 10.076349 44.02419
14480 14480 LU 10.266122 43.946987
14577 14577 LU 10.243833 43.949165
4389 4389 MS 10.059722 44.029404
4661 4661 MS 10.051176 44.034897
13896 13896 LU 10.170173 43.95903
15023 15023 LU 10.16985 43.95641
10632 10632 LI 10.34703 43.464832
14035 14035 LU 10.338875 43.910423
4195 4195 MS 10.170581 44.00839
12626 12626 LU 10.19264 43.93429
3484 3484 FI 11.215595 43.981373
4405 4405 MS 10.143304 44.03776
11297 11297 LI 10.33995 43.57692
4336 4336 MS 10.1177 43.99621
4316 4316 MS 9.885527 44.375435
393 393 FI 11.23232 43.991127
9641 9641 PI 10.583211 43.683728869766426
14809 14809 LU 10.333736 43.874622
7229 7229 MS 10.135191 44.01543
7174 7174 MS 10.109794 44.004936
14492 14492 LU 10.23353 43.9556
4163 4163 MS 10.136852 44.02455
14644 14644 LU 10.192939 43.938267
14664 14664 LU 10.227909 43.901634
14706 14706 LU 10.314115 44.006454
4164 4164 MS 10.143558 44.03681
4395 4395 MS 10.143523 44.038624
4650 4650 MS 10.13571 44.03662
13956 13956 LU 10.254394 43.86735
14878 14878 LU 10.23276 43.90382
4410 4410 MS 9.946715 44.20812
7213 7213 MS 10.143276 44.023685
15584 15584 LU 10.232138 43.957535
7160 7160 MS 10.155284 44.085682
10565 10565 LI 10.597462 43.249565
4305 4305 MS 10.11009 44.000652
14815 14815 LU 10.251187 43.864548
14629 14629 LU 10.230278 43.959377
15107 15107 LU 10.160883 43.966515
4619 4619 MS 10.143648 44.03548
15430 15430 LU 10.173778 43.95537
7223 7223 MS 9.94582 44.24213
7241 7241 MS 10.069444 44.052494
7211 7211 MS 10.027735 44.041256
14467 14467 LU 10.244186 43.862656
7151 7151 MS 10.092972 44.011234
4401 4401 MS 10.096969 44.008762
14647 14647 LU 10.157538 43.96699
4638 4638 MS 10.148106 43.987022
