index,PI-positivi,PI-deceduti,PO-positivi,PO-deceduti,LI-positivi,LI-deceduti,FI-positivi,FI-deceduti,AR-positivi,AR-deceduti,PT-positivi,PT-deceduti,GR-positivi,GR-deceduti,MS-positivi,MS-deceduti,SI-positivi,SI-deceduti,LU-positivi,LU-deceduti
2020-02-14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-15,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-16,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-17,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-18,0,0.0,0,0.0,0,0.0,7,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020-02-19,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,1,0.0,0,0.0,1,0.0,3,0.0,1,0.0
2020-02-20,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,1,0.0,0,0.0,3,0.0,3,0.0,1,0.0
2020-02-21,0,0.0,0,0.0,0,0.0,4,0.0,1,0.0,1,0.0,0,0.0,3,0.0,3,0.0,1,0.0
2020-02-22,0,0.0,0,0.0,0,0.0,7,0.0,2,0.0,1,0.0,0,0.0,3,0.0,3,0.0,3,0.0
2020-02-23,2,0.0,1,0.0,3,0.0,12,0.0,2,0.0,1,0.0,0,0.0,4,0.0,10,0.0,3,0.0
2020-02-24,5,0.0,1,0.0,3,0.0,20,0.0,5,0.0,1,0.0,2,0.0,6,0.0,12,0.0,6,0.0
2020-02-25,8,0.0,1,0.0,5,0.0,23,0.0,7,0.0,1,0.0,2,0.0,10,0.0,14,0.0,8,0.0
2020-02-26,11,0.0,3,0.0,6,0.0,27,0.0,8,0.0,6,0.0,2,0.0,16,0.0,19,0.0,15,0.0
2020-02-27,17,0.0,3,0.0,10,0.0,39,0.0,9,0.0,13,0.0,4,0.0,21,0.0,24,0.0,26,0.0
2020-02-28,20,1.0,5,0.0,10,0.0,51,0.0,12,0.0,16,0.0,6,0.0,28,0.0,29,0.0,31,0.0
2020-02-29,31,1.0,7,0.0,14,0.0,61,0.0,13,0.0,21,0.0,10,0.0,37,0.0,33,0.0,37,0.0
2020-03-01,34,1.0,21,0.0,16,0.0,71,0.0,14,0.0,32,0.0,12,0.0,40,0.0,37,0.0,43,0.0
2020-03-02,34,1.0,25,0.0,16,0.0,86,0.0,14,0.0,43,0.0,16,0.0,40,2.0,41,0.0,49,1.0
2020-03-03,51,1.0,26,0.0,27,0.0,101,0.0,16,0.0,48,0.0,16,0.0,65,2.0,41,0.0,79,1.0
2020-03-04,62,1.0,33,0.0,40,0.0,132,0.0,27,0.0,63,1.0,31,0.0,88,2.0,58,0.0,96,1.0
2020-03-05,71,2.0,42,0.0,50,1.0,162,0.0,41,0.0,79,1.0,38,0.0,108,2.0,60,0.0,130,1.0
2020-03-06,78,2.0,45,0.0,53,2.0,186,1.0,43,0.0,90,1.0,50,0.0,117,5.0,66,1.0,138,2.0
2020-03-07,101,2.0,53,1.0,59,3.0,214,1.0,71,0.0,100,2.0,60,0.0,143,5.0,73,1.0,179,4.0
2020-03-08,124,3.0,59,1.0,62,3.0,295,1.0,142,0.0,122,2.0,68,0.0,176,6.0,77,1.0,205,7.0
2020-03-09,146,3.0,70,1.0,62,4.0,349,4.0,113,0.0,145,3.0,89,0.0,200,10.0,78,1.0,230,13.0
2020-03-10,180,3.0,94,2.0,117,5.0,401,4.0,124,0.0,171,6.0,97,1.0,232,11.0,128,2.0,249,14.0
2020-03-11,211,8.0,111,4.0,120,5.0,451,6.0,136,0.0,181,9.0,106,2.0,256,20.0,133,3.0,307,16.0
2020-03-12,234,10.0,129,5.0,130,7.0,514,11.0,154,1.0,215,11.0,120,2.0,281,24.0,144,3.0,356,18.0
2020-03-13,266,13.0,137,7.0,140,9.0,548,12.0,201,1.0,229,13.0,128,2.0,289,31.0,160,4.0,363,19.0
2020-03-14,285,16.0,159,8.0,162,10.0,622,15.0,211,2.0,243,21.0,140,2.0,314,35.0,176,5.0,387,20.0
2020-03-15,317,18.0,178,9.0,179,10.0,709,20.0,229,2.0,254,23.0,147,2.0,330,37.0,193,6.0,436,21.0
2020-03-16,350,21.0,189,10.0,204,12.0,764,25.0,249,3.0,264,24.0,174,3.0,334,41.0,216,6.0,481,22.0
2020-03-17,350,23.0,189,11.0,204,12.0,764,25.0,249,5.0,264,28.0,174,3.0,334,44.0,216,6.0,481,29.0
2020-03-18,398,26.0,217,11.0,220,13.0,855,27.0,272,5.0,298,33.0,234,3.0,470,45.0,235,8.0,618,32.0
2020-03-19,432,27.0,221,11.0,236,18.0,957,29.0,284,5.0,309,35.0,245,3.0,493,48.0,273,9.0,672,35.0
2020-03-20,446,27.0,248,14.0,271,19.0,1022,35.0,310,5.0,324,37.0,251,4.0,543,49.0,286,9.0,711,36.0
2020-03-21,471,29.0,258,15.0,280,20.0,1087,39.0,332,6.0,332,37.0,257,4.0,561,50.0,301,10.0,729,38.0
2020-03-22,491,30.0,290,16.0,295,21.0,1158,44.0,343,7.0,333,38.0,263,5.0,611,50.0,312,10.0,771,38.0
2020-03-23,515,33.0,291,16.0,301,21.0,1419,47.0,357,7.0,346,39.0,264,6.0,644,51.0,334,10.0,802,44.0
2020-03-24,519,34.0,323,19.0,307,22.0,1543,52.0,358,8.0,361,43.0,264,7.0,644,54.0,337,12.0,843,47.0
2020-03-25,527,34.0,332,19.0,316,25.0,1626,57.0,370,10.0,374,46.0,273,7.0,659,57.0,339,12.0,855,50.0
2020-03-26,544,38.0,338,19.0,322,26.0,1715,59.0,378,10.0,394,49.0,277,8.0,667,59.0,340,12.0,872,55.0
2020-03-27,560,38.0,342,20.0,323,27.0,1769,76.0,387,10.0,400,49.0,284,9.0,698,62.0,350,13.0,888,61.0
2020-03-28,584,38.0,344,21.0,336,27.0,1805,83.0,396,12.0,404,51.0,290,10.0,734,64.0,360,14.0,920,64.0
2020-03-29,592,41.0,345,23.0,349,27.0,1871,93.0,398,12.0,450,53.0,290,12.0,769,65.0,361,14.0,954,67.0
2020-03-30,606,43.0,355,24.0,353,27.0,1961,101.0,399,13.0,457,54.0,292,12.0,790,67.0,360,14.0,979,68.0
2020-03-31,613,44.0,357,27.0,358,29.0,2069,111.0,403,14.0,468,58.0,310,12.0,798,69.0,363,14.0,988,72.0
2020-04-01,636,45.0,370,27.0,379,29.0,2154,115.0,417,14.0,490,61.0,323,12.0,814,73.0,369,15.0,1006,72.0
2020-04-02,677,49.0,393,29.0,398,31.0,2259,124.0,429,14.0,506,64.0,327,13.0,855,76.0,371,15.0,1020,75.0
2020-04-03,694,52.0,394,30.0,404,32.0,2269,129.0,453,16.0,509,64.0,368,13.0,867,82.0,372,16.0,1060,79.0
2020-04-04,727,52.0,404,30.0,410,32.0,2311,142.0,487,16.0,513,66.0,368,13.0,873,84.0,373,16.0,1061,82.0
2020-04-05,733,54.0,411,30.0,415,34.0,2372,147.0,522,19.0,516,67.0,368,13.0,881,85.0,375,18.0,1073,84.0
2020-04-06,750,57.0,440,32.0,465,36.0,2443,154.0,530,20.0,536,68.0,368,13.0,893,93.0,384,18.0,1134,88.0
2020-04-07,766,58.0,449,32.0,475,36.0,2494,157.0,541,23.0,547,68.0,376,13.0,912,96.0,392,23.0,1158,89.0
2020-04-08,774,60.0,457,33.0,480,36.0,2563,162.0,548,23.0,554,68.0,379,14.0,918,101.0,399,23.0,1165,91.0
2020-04-09,778,61.0,466,34.0,489,39.0,2609,171.0,558,23.0,557,68.0,380,14.0,933,102.0,405,23.0,1197,94.0
2020-04-10,804,63.0,472,35.0,491,39.0,2653,184.0,567,24.0,568,71.0,383,14.0,949,108.0,407,24.0,1213,97.0
2020-04-11,811,65.0,473,36.0,492,39.0,2704,192.0,580,27.0,575,71.0,386,14.0,956,110.0,411,25.0,1215,99.0
2020-04-12,818,66.0,479,38.0,494,41.0,2760,201.0,587,28.0,583,72.0,389,14.0,957,111.0,412,25.0,1221,101.0
2020-04-13,823,66.0,486,38.0,495,41.0,2795,216.0,597,28.0,592,72.0,394,14.0,959,111.0,414,25.0,1225,104.0
2020-04-14,824,69.0,493,39.0,499,41.0,2849,227.0,606,28.0,598,72.0,397,16.0,966,111.0,415,25.0,1230,106.0
2020-04-15,833,69.0,502,39.0,501,42.0,2924,238.0,610,30.0,607,72.0,400,16.0,977,111.0,417,26.0,1244,109.0
2020-04-16,836,70.0,513,39.0,508,43.0,3003,249.0,617,33.0,615,72.0,400,16.0,979,112.0,420,26.0,1256,110.0
2020-04-17,840,71.0,513,40.0,508,44.0,3011,257.0,619,34.0,618,73.0,402,16.0,983,114.0,420,26.0,1265,112.0
2020-04-18,844,71.0,515,40.0,511,44.0,3039,266.0,620,36.0,621,73.0,404,16.0,987,115.0,421,26.0,1269,116.0
2020-04-19,846,71.0,517,41.0,513,44.0,3079,276.0,621,37.0,624,74.0,405,16.0,993,117.0,421,26.0,1273,118.0
2020-04-20,847,72.0,520,42.0,513,44.0,3120,287.0,624,38.0,630,74.0,406,16.0,994,117.0,422,26.0,1276,119.0
2020-04-21,851,74.0,527,42.0,515,44.0,3156,292.0,639,39.0,633,74.0,407,16.0,1005,118.0,423,26.0,1289,121.0
2020-04-22,856,75.0,529,42.0,521,45.0,3193,297.0,648,39.0,640,74.0,407,16.0,1012,119.0,424,26.0,1295,122.0
2020-04-23,857,75.0,529,42.0,523,45.0,3210,303.0,648,39.0,644,74.0,409,16.0,1015,121.0,424,26.0,1304,123.0
2020-04-24,858,76.0,531,43.0,526,46.0,3224,306.0,651,39.0,647,76.0,413,16.0,1018,122.0,425,26.0,1308,123.0
2020-04-25,860,77.0,531,43.0,529,46.0,3242,309.0,652,40.0,647,76.0,415,16.0,1020,122.0,425,27.0,1310,125.0
2020-04-26,862,77.0,533,43.0,529,49.0,3257,314.0,654,40.0,647,76.0,416,16.0,1020,123.0,425,28.0,1314,125.0
2020-04-27,863,77.0,535,43.0,530,50.0,3275,319.0,655,41.0,647,76.0,416,16.0,1021,131.0,425,28.0,1316,126.0
2020-04-28,865,77.0,536,43.0,531,50.0,3296,330.0,660,42.0,648,76.0,417,16.0,1022,134.0,427,28.0,1319,126.0
2020-04-29,867,77.0,536,43.0,535,50.0,3305,334.0,660,44.0,652,76.0,417,16.0,1022,134.0,427,28.0,1324,127.0
2020-04-30,867,78.0,538,44.0,535,50.0,3316,336.0,662,44.0,652,76.0,421,16.0,1028,134.0,427,28.0,1328,128.0
2020-05-01,868,78.0,539,44.0,535,51.0,3322,342.0,665,44.0,652,76.0,421,16.0,1029,135.0,427,28.0,1329,128.0
2020-05-02,868,78.0,542,44.0,535,53.0,3333,345.0,665,44.0,652,76.0,421,18.0,1030,136.0,427,28.0,1329,129.0
2020-05-03,875,78.0,543,44.0,538,53.0,3340,347.0,667,44.0,654,76.0,421,19.0,1033,138.0,427,28.0,1331,129.0
2020-05-04,876,81.0,546,44.0,539,53.0,3353,350.0,668,44.0,655,77.0,421,19.0,1037,139.0,429,28.0,1335,130.0
2020-05-05,877,81.0,546,44.0,541,53.0,3371,351.0,669,45.0,656,77.0,421,19.0,1037,139.0,429,28.0,1336,131.0
2020-05-06,877,81.0,550,45.0,541,53.0,3385,351.0,669,45.0,661,77.0,421,19.0,1042,141.0,429,28.0,1338,131.0
2020-05-07,878,81.0,551,45.0,541,55.0,3403,352.0,671,45.0,661,78.0,422,19.0,1043,141.0,430,28.0,1348,132.0
2020-05-08,880,82.0,551,45.0,542,55.0,3406,355.0,674,45.0,661,78.0,422,19.0,1043,141.0,430,28.0,1352,133.0
2020-05-09,881,83.0,551,45.0,542,55.0,3411,357.0,674,45.0,661,78.0,423,19.0,1043,141.0,430,28.0,1352,133.0
2020-05-10,883,83.0,555,45.0,543,57.0,3413,360.0,675,45.0,663,78.0,423,19.0,1044,141.0,431,28.0,1352,134.0
2020-05-11,885,84.0,557,45.0,546,57.0,3420,362.0,675,45.0,666,79.0,423,20.0,1044,141.0,432,29.0,1352,134.0
2020-05-12,885,85.0,559,45.0,550,57.0,3436,366.0,676,45.0,669,79.0,423,20.0,1044,141.0,437,29.0,1356,134.0
2020-05-13,885,85.0,559,45.0,551,58.0,3445,367.0,676,45.0,669,79.0,423,20.0,1044,141.0,438,29.0,1357,134.0
2020-05-14,886,85.0,562,45.0,551,58.0,3451,369.0,676,45.0,671,79.0,423,20.0,1044,141.0,438,29.0,1360,134.0
2020-05-15,888,85.0,562,46.0,552,58.0,3451,370.0,676,45.0,673,79.0,423,20.0,1044,141.0,438,29.0,1360,134.0
2020-05-16,888,85.0,562,46.0,553,58.0,3452,373.0,676,45.0,673,79.0,424,21.0,1044,142.0,438,29.0,1360,135.0
2020-05-17,890,85.0,564,46.0,554,58.0,3456,377.0,676,45.0,673,79.0,425,21.0,1045,143.0,438,30.0,1361,135.0
2020-05-18,891,85.0,564,46.0,554,58.0,3457,379.0,676,45.0,674,79.0,425,21.0,1046,143.0,438,30.0,1361,135.0
2020-05-19,891,85.0,564,46.0,555,58.0,3458,380.0,676,45.0,674,79.0,425,21.0,1046,144.0,438,30.0,1361,135.0
2020-05-20,892,85.0,564,47.0,556,58.0,3464,382.0,676,46.0,675,80.0,425,21.0,1049,145.0,438,30.0,1361,135.0
2020-05-21,893,85.0,564,47.0,556,58.0,3467,383.0,676,46.0,675,80.0,425,21.0,1049,148.0,438,30.0,1361,135.0
2020-05-22,893,85.0,564,47.0,556,58.0,3468,386.0,677,46.0,675,80.0,425,23.0,1049,150.0,438,30.0,1362,135.0
2020-05-23,896,86.0,565,48.0,556,58.0,3471,387.0,677,46.0,676,80.0,426,23.0,1049,152.0,438,30.0,1363,135.0
2020-05-24,896,86.0,565,48.0,557,59.0,3473,387.0,677,46.0,676,80.0,426,23.0,1049,153.0,438,30.0,1364,135.0
2020-05-25,896,86.0,565,48.0,557,59.0,3473,388.0,677,46.0,677,80.0,426,23.0,1049,156.0,438,30.0,1364,135.0
2020-05-26,896,87.0,566,48.0,557,59.0,3478,389.0,677,46.0,677,80.0,426,23.0,1050,158.0,438,30.0,1364,135.0
2020-05-27,896,87.0,567,48.0,557,61.0,3482,389.0,677,46.0,677,80.0,426,23.0,1050,160.0,438,30.0,1364,136.0
2020-05-28,896,87.0,567,48.0,557,61.0,3483,390.0,677,46.0,677,80.0,426,23.0,1050,161.0,438,30.0,1364,136.0
2020-05-29,896,89.0,568,48.0,557,61.0,3485,392.0,678,46.0,678,80.0,427,23.0,1050,161.0,441,30.0,1364,136.0
2020-05-30,896,89.0,568,48.0,557,61.0,3486,394.0,678,46.0,678,80.0,427,23.0,1050,161.0,441,31.0,1364,136.0
2020-05-31,896,89.0,569,48.0,557,61.0,3487,394.0,678,46.0,678,80.0,427,23.0,1050,162.0,441,31.0,1365,136.0
2020-06-01,897,89.0,569,49.0,557,61.0,3492,394.0,678,46.0,678,80.0,429,23.0,1051,162.0,441,31.0,1366,136.0
2020-06-02,897,89.0,569,49.0,557,61.0,3497,395.0,679,46.0,679,80.0,429,23.0,1051,162.0,441,31.0,1366,136.0
2020-06-03,897,89.0,569,49.0,557,61.0,3504,395.0,679,46.0,679,80.0,429,23.0,1051,162.0,441,31.0,1366,138.0
2020-06-04,897,89.0,569,49.0,558,61.0,3510,396.0,679,46.0,679,80.0,430,23.0,1051,162.0,441,31.0,1366,140.0
2020-06-05,897,89.0,569,51.0,558,61.0,3513,397.0,683,46.0,680,80.0,430,23.0,1051,162.0,441,31.0,1366,140.0
2020-06-06,897,89.0,569,51.0,558,61.0,3513,400.0,686,46.0,680,80.0,430,23.0,1051,162.0,441,31.0,1366,140.0
2020-06-07,897,89.0,569,51.0,558,61.0,3513,400.0,686,46.0,680,80.0,430,24.0,1052,162.0,441,31.0,1367,140.0
2020-06-08,897,89.0,569,51.0,559,61.0,3514,401.0,686,46.0,680,80.0,430,24.0,1052,162.0,441,31.0,1367,140.0
2020-06-09,899,89.0,571,51.0,559,61.0,3516,403.0,688,46.0,680,80.0,430,24.0,1052,162.0,441,31.0,1369,140.0
2020-06-10,900,89.0,572,51.0,559,61.0,3516,403.0,688,46.0,680,80.0,430,24.0,1052,162.0,441,31.0,1369,140.0
2020-06-11,900,89.0,572,51.0,559,61.0,3517,403.0,690,46.0,680,80.0,430,24.0,1052,162.0,441,31.0,1369,140.0
2020-06-12,900,89.0,572,51.0,559,61.0,3517,405.0,691,46.0,680,81.0,430,24.0,1052,162.0,441,31.0,1369,141.0
2020-06-13,900,89.0,575,51.0,559,61.0,3518,405.0,691,46.0,681,81.0,430,24.0,1052,162.0,441,32.0,1370,141.0
2020-06-14,925,89.0,530,51.0,476,61.0,3185,405.0,670,46.0,743,81.0,394,24.0,1050,162.0,427,33.0,1351,141.0
2020-06-15,925,89.0,531,51.0,476,61.0,3185,405.0,670,46.0,743,81.0,395,24.0,1050,162.0,427,33.0,1351,141.0
2020-06-16,925,89.0,532,51.0,476,61.0,3185,405.0,671,46.0,743,81.0,395,24.0,1050,164.0,427,33.0,1351,141.0
2020-06-17,928,89.0,532,51.0,476,61.0,3187,405.0,673,46.0,747,81.0,396,24.0,1050,164.0,427,33.0,1351,141.0
2020-06-18,928,89.0,532,51.0,477,61.0,3187,405.0,676,46.0,747,81.0,396,24.0,1051,164.0,427,33.0,1351,141.0
2020-06-19,930,89.0,532,51.0,477,61.0,3190,405.0,676,47.0,747,81.0,396,24.0,1051,164.0,427,33.0,1351,141.0
2020-06-20,930,89.0,532,51.0,477,61.0,3192,405.0,676,47.0,747,81.0,396,24.0,1051,164.0,427,33.0,1351,141.0
2020-06-21,930,89.0,534,51.0,477,61.0,3192,405.0,676,47.0,747,81.0,396,24.0,1051,166.0,429,33.0,1351,141.0
2020-06-22,932,89.0,534,51.0,477,61.0,3192,407.0,677,47.0,748,81.0,396,24.0,1051,167.0,429,33.0,1351,141.0
2020-06-23,932,89.0,534,52.0,478,61.0,3199,407.0,677,47.0,748,81.0,397,24.0,1051,169.0,429,33.0,1351,141.0
2020-06-24,932,89.0,534,52.0,479,61.0,3200,407.0,680,48.0,748,81.0,400,24.0,1052,170.0,429,33.0,1351,141.0
2020-06-25,932,89.0,536,52.0,479,61.0,3206,407.0,680,48.0,748,81.0,401,24.0,1052,170.0,429,33.0,1351,141.0
2020-06-26,932,89.0,538,52.0,479,61.0,3206,407.0,680,48.0,748,81.0,401,24.0,1052,170.0,429,33.0,1351,141.0
2020-06-27,932,89.0,538,52.0,479,61.0,3213,408.0,681,48.0,748,81.0,401,24.0,1052,171.0,429,33.0,1362,141.0
2020-06-28,932,89.0,538,52.0,479,61.0,3218,410.0,681,48.0,749,81.0,402,24.0,1052,171.0,429,33.0,1362,141.0
2020-06-29,932,89.0,539,52.0,479,61.0,3218,410.0,681,49.0,749,81.0,402,24.0,1052,171.0,429,33.0,1362,142.0
2020-06-30,932,89.0,541,52.0,479,61.0,3218,411.0,681,49.0,749,81.0,402,24.0,1052,171.0,429,33.0,1362,142.0
2020-07-01,932,90.0,542,52.0,479,61.0,3221,411.0,682,49.0,749,81.0,402,24.0,1052,171.0,429,33.0,1362,142.0
2020-07-02,932,90.0,542,52.0,479,61.0,3222,411.0,682,49.0,749,81.0,402,24.0,1052,171.0,429,33.0,1362,142.0
2020-07-03,932,90.0,544,52.0,479,61.0,3222,411.0,682,49.0,749,81.0,402,24.0,1052,171.0,429,33.0,1364,142.0
2020-07-04,933,90.0,544,52.0,479,61.0,3222,413.0,682,49.0,749,81.0,404,24.0,1052,172.0,429,33.0,1365,142.0
2020-07-05,936,90.0,546,52.0,479,61.0,3223,414.0,682,49.0,749,81.0,404,24.0,1054,172.0,429,33.0,1365,143.0
2020-07-06,942,90.0,547,52.0,479,61.0,3225,414.0,683,49.0,749,81.0,404,24.0,1055,172.0,429,33.0,1366,143.0
2020-07-07,942,90.0,548,52.0,481,61.0,3226,414.0,684,50.0,749,81.0,404,24.0,1055,173.0,429,33.0,1367,143.0
2020-07-08,942,90.0,549,52.0,481,61.0,3226,414.0,684,50.0,749,81.0,405,24.0,1055,173.0,429,33.0,1367,143.0
2020-07-09,942,90.0,549,52.0,481,61.0,3236,414.0,689,50.0,749,81.0,405,24.0,1056,173.0,429,33.0,1367,143.0
2020-07-10,942,90.0,549,52.0,482,61.0,3236,415.0,689,50.0,749,81.0,405,24.0,1056,173.0,429,33.0,1367,143.0
2020-07-11,943,90.0,549,52.0,482,61.0,3239,416.0,690,50.0,749,81.0,405,24.0,1056,173.0,429,33.0,1371,143.0
2020-07-12,944,90.0,551,52.0,482,61.0,3242,416.0,690,50.0,749,81.0,405,24.0,1056,173.0,429,33.0,1371,143.0
2020-07-13,944,90.0,551,52.0,483,61.0,3242,416.0,690,50.0,750,81.0,407,24.0,1056,173.0,429,33.0,1371,143.0
2020-07-14,944,90.0,552,52.0,483,61.0,3246,416.0,690,50.0,752,81.0,408,24.0,1056,173.0,429,33.0,1374,143.0
2020-07-15,944,90.0,552,52.0,484,61.0,3250,416.0,691,50.0,754,81.0,408,24.0,1056,173.0,429,33.0,1376,143.0
2020-07-16,946,90.0,554,52.0,484,61.0,3259,416.0,691,50.0,755,81.0,408,24.0,1056,173.0,429,33.0,1377,143.0
2020-07-17,946,90.0,555,52.0,484,61.0,3261,416.0,693,50.0,755,81.0,408,24.0,1056,173.0,429,33.0,1380,143.0
2020-07-18,946,90.0,556,52.0,484,63.0,3263,417.0,693,50.0,755,81.0,408,24.0,1056,173.0,429,33.0,1380,143.0
2020-07-19,948,90.0,556,52.0,484,63.0,3275,417.0,693,50.0,756,81.0,408,24.0,1056,173.0,430,33.0,1381,143.0
2020-07-20,948,90.0,558,52.0,484,63.0,3281,417.0,693,50.0,756,81.0,408,24.0,1056,173.0,430,33.0,1384,143.0
2020-07-21,949,90.0,559,52.0,484,63.0,3291,417.0,693,50.0,756,81.0,408,24.0,1057,173.0,431,33.0,1384,143.0
2020-07-22,951,90.0,559,52.0,484,63.0,3294,417.0,693,50.0,756,81.0,408,24.0,1057,174.0,431,33.0,1385,143.0
2020-07-23,954,90.0,559,52.0,485,63.0,3296,417.0,693,50.0,756,81.0,408,24.0,1057,174.0,431,33.0,1388,143.0
2020-07-24,957,90.0,559,52.0,485,63.0,3298,417.0,695,50.0,756,81.0,408,24.0,1057,174.0,431,33.0,1391,144.0
2020-07-25,957,90.0,563,52.0,487,63.0,3300,417.0,695,50.0,756,81.0,410,25.0,1057,174.0,431,33.0,1392,144.0
2020-07-26,959,90.0,563,52.0,487,63.0,3301,417.0,695,50.0,756,81.0,412,25.0,1057,174.0,431,33.0,1398,144.0
2020-07-27,959,90.0,565,52.0,488,63.0,3304,417.0,695,50.0,756,81.0,415,25.0,1057,174.0,435,33.0,1402,144.0
2020-07-28,960,90.0,565,52.0,489,63.0,3306,417.0,697,50.0,756,81.0,418,25.0,1057,174.0,436,33.0,1405,144.0
2020-07-29,961,90.0,566,52.0,490,63.0,3312,417.0,703,50.0,757,81.0,418,25.0,1058,174.0,440,33.0,1407,144.0
2020-07-30,969,90.0,572,52.0,494,63.0,3316,417.0,713,50.0,759,81.0,420,25.0,1075,174.0,441,33.0,1414,144.0
2020-07-31,969,90.0,572,52.0,494,63.0,3319,417.0,714,50.0,759,81.0,420,25.0,1076,174.0,441,33.0,1417,144.0
2020-08-01,970,90.0,572,52.0,494,63.0,3334,417.0,716,50.0,761,81.0,420,25.0,1076,174.0,441,33.0,1419,144.0
2020-08-02,971,90.0,572,52.0,494,63.0,3343,417.0,729,50.0,762,81.0,421,25.0,1076,174.0,445,33.0,1423,144.0
2020-08-03,972,90.0,572,52.0,495,63.0,3353,417.0,733,50.0,764,81.0,422,25.0,1078,174.0,446,33.0,1429,144.0
2020-08-04,972,90.0,576,52.0,496,63.0,3360,417.0,734,50.0,771,81.0,422,25.0,1078,174.0,451,33.0,1430,144.0
2020-08-05,974,90.0,579,52.0,498,63.0,3378,417.0,734,50.0,772,81.0,424,25.0,1078,174.0,451,33.0,1440,145.0
2020-08-06,979,90.0,581,52.0,506,63.0,3381,417.0,735,50.0,775,81.0,424,25.0,1085,174.0,452,33.0,1444,145.0
2020-08-07,980,91.0,581,52.0,508,63.0,3383,417.0,735,50.0,775,81.0,427,25.0,1089,174.0,454,33.0,1451,145.0
2020-08-08,980,91.0,584,52.0,508,63.0,3392,417.0,739,50.0,775,81.0,427,25.0,1097,174.0,457,33.0,1455,145.0
2020-08-09,985,91.0,585,52.0,511,63.0,3404,417.0,739,50.0,777,81.0,429,25.0,1105,174.0,457,33.0,1457,145.0
2020-08-10,985,91.0,585,52.0,514,63.0,3422,417.0,744,50.0,783,81.0,429,25.0,1108,174.0,459,33.0,1472,145.0
2020-08-11,993,91.0,593,52.0,519,63.0,3437,417.0,748,50.0,787,81.0,432,25.0,1109,174.0,464,33.0,1479,145.0
2020-08-12,1004,91.0,594,52.0,522,63.0,3446,417.0,752,50.0,788,81.0,435,25.0,1115,174.0,469,33.0,1485,145.0
2020-08-13,1007,91.0,597,52.0,526,63.0,3460,417.0,758,50.0,794,81.0,441,25.0,1124,174.0,471,33.0,1490,145.0
2020-08-14,1012,91.0,600,52.0,532,63.0,3469,417.0,762,50.0,794,81.0,442,25.0,1132,174.0,473,33.0,1496,145.0
2020-08-15,1013,91.0,600,52.0,532,63.0,3476,417.0,764,50.0,797,81.0,444,25.0,1141,174.0,480,33.0,1497,145.0
2020-08-16,1020,91.0,604,52.0,535,63.0,3574,417.0,774,50.0,802,81.0,450,25.0,1161,174.0,486,33.0,1498,146.0
2020-08-17,1031,91.0,608,52.0,545,63.0,3596,417.0,779,50.0,806,81.0,461,25.0,1178,174.0,494,33.0,1504,146.0
2020-08-18,1036,91.0,613,52.0,548,63.0,3617,417.0,794,50.0,807,81.0,465,25.0,1188,175.0,505,33.0,1509,146.0
2020-08-19,1046,91.0,616,52.0,549,63.0,3635,417.0,813,50.0,818,81.0,466,25.0,1210,175.0,508,33.0,1513,146.0
2020-08-20,1061,91.0,622,52.0,552,63.0,3661,417.0,820,50.0,824,81.0,477,25.0,1221,175.0,509,33.0,1525,146.0
2020-08-21,1066,91.0,623,52.0,557,63.0,3673,417.0,842,50.0,825,81.0,485,25.0,1228,175.0,509,33.0,1536,146.0
2020-08-22,1069,91.0,625,52.0,557,63.0,3691,417.0,846,50.0,829,81.0,486,25.0,1235,175.0,510,33.0,1536,147.0
2020-08-23,1072,91.0,635,52.0,559,63.0,3708,417.0,854,50.0,835,81.0,489,25.0,1245,175.0,515,33.0,1538,147.0
2020-08-24,1083,91.0,641,52.0,570,63.0,3720,418.0,866,50.0,849,81.0,499,25.0,1264,175.0,517,33.0,1551,147.0
2020-08-25,1095,91.0,652,52.0,579,63.0,3742,418.0,874,50.0,851,81.0,509,25.0,1274,175.0,519,33.0,1559,147.0
2020-08-26,1118,91.0,654,52.0,583,63.0,3766,418.0,881,50.0,856,81.0,513,25.0,1298,175.0,523,33.0,1572,147.0
2020-08-27,1129,91.0,668,52.0,591,63.0,3800,418.0,892,50.0,862,81.0,516,25.0,1321,175.0,524,33.0,1583,147.0
2020-08-28,1151,91.0,671,52.0,593,64.0,3813,418.0,900,50.0,865,81.0,516,25.0,1339,175.0,530,33.0,1589,147.0
2020-08-29,1159,91.0,677,52.0,595,64.0,3833,418.0,908,50.0,870,81.0,517,25.0,1341,175.0,531,33.0,1595,148.0
2020-08-30,1171,91.0,693,52.0,601,65.0,3847,418.0,927,50.0,871,81.0,518,25.0,1354,176.0,535,33.0,1596,148.0
