"covidMeasure","latitude","longitude","name","province","selected","shared name"
"0","43.866993","10.251187","14788","LU","false","14788"
"1","42.92415","10.52886","10568","LI","false","10568"
"0","43.858643","10.522318","14278","LU","false","14278"
"0","43.869617","10.245204","14581","LU","false","14581"
"0","44.134556","10.370731","15650","LU","false","15650"
"0","43.314194","10.514901","10584","LI","false","10584"
"0","43.059765","10.617326","10571","LI","false","10571"
"0","43.294464","10.497548","10458","LI","false","10458"
"0","43.160557","10.6075","10519","LI","false","10519"
"0","42.92188","10.527572","10582","LI","false","10582"
"1","43.44701","11.8607","12857","AR","false","12857"
"1","43.66369647421313","10.633889","11157","PI","false","11157"
"0","43.07656","11.679942","5401","SI","false","5401"
"0","43.549404","11.355806","2108","FI","false","2108"
"0","43.05175","9.836373","10831","LI","false","10831"
"0","43.04834","9.841751","11632","LI","false","11632"
"0","42.35997","10.919644","13743","GR","false","13743"
"1","43.851166","10.667786","14392","LU","false","14392"
"1","43.84601","10.51028","14156","LU","false","14156"
"1","43.638416","10.393461","11229","PI","false","11229"
"0","43.92041","10.260122","14742","LU","false","14742"
"1","43.618935","10.467416","10575","LI","false","10575"
"0","43.97805","10.203424","14087","LU","false","14087"
"0","44.00571","10.10246","4302","MS","false","4302"
"0","44.00635","10.101242","4332","MS","false","4332"
"0","44.003143","10.106413","4351","MS","false","4351"
"0","44.03787","10.142739","7126","MS","false","7126"
"0","44.045143","10.100274","4266","MS","false","4266"
"0","44.01061","10.099079","7130","MS","false","7130"
"1","43.400314","10.426365","10567","LI","false","10567"
"0","43.076607","11.677568","5089","SI","false","5089"
"0","43.97908","10.144889","7154","MS","false","7154"
"0","43.99396","10.227436","14277","LU","false","14277"
"1","43.98084","10.215143","13891","LU","false","13891"
"0","43.994656","10.2271","14752","LU","false","14752"
"0","43.87583","10.331665","14839","LU","false","14839"
"0","44.04327","10.023586","4230","MS","false","4230"
"1","43.990894","10.124307","7230","MS","false","7230"
"0","44.03805","10.046356","7175","MS","false","7175"
"0","44.03733","10.033954","4479","MS","false","4479"
"0","43.9997","10.111646","4326","MS","false","4326"
"0","44.01005","10.09554","4476","MS","false","4476"
"1","42.644653","11.322681","13813","GR","false","13813"
"0","43.17876","10.538103","10439","LI","false","10439"
"0","42.919537","10.757001","13252","GR","false","13252"
"0","42.893913","10.924221","13785","GR","false","13785"
"0","43.773106","10.368063","11240","PI","false","11240"
"0","44.073814","10.48487","14394","LU","false","14394"
"0","43.86622","10.243746","14652","LU","false","14652"
"0","43.9986","10.557552","15680","LU","false","15680"
"0","43.86444","10.250663","14472","LU","false","14472"
"0","44.040947","10.494887","15787","LU","false","15787"
"1","43.86654","10.245976","14583","LU","false","14583"
"0","44.034157","10.14391","4324","MS","false","4324"
"0","43.865852","10.245409","14383","LU","false","14383"
"0","43.982124","10.136301","7253","MS","false","7253"
"0","44.02419","10.076349","7139","MS","false","7139"
"0","43.946987","10.266122","14480","LU","false","14480"
"0","43.949165","10.243833","14577","LU","false","14577"
"0","44.029404","10.059722","4389","MS","false","4389"
"0","44.034897","10.051176","4661","MS","false","4661"
"0","43.95903","10.170173","13896","LU","false","13896"
"0","43.95641","10.16985","15023","LU","false","15023"
"1","43.464832","10.34703","10632","LI","false","10632"
"0","43.910423","10.338875","14035","LU","false","14035"
"0","44.00839","10.170581","4195","MS","false","4195"
"0","43.93429","10.19264","12626","LU","false","12626"
"0","43.981373","11.215595","3484","FI","false","3484"
"0","44.03776","10.143304","4405","MS","false","4405"
"0","43.57692","10.33995","11297","LI","false","11297"
"0","43.99621","10.1177","4336","MS","false","4336"
"0","44.375435","9.885527","4316","MS","false","4316"
"0","43.991127","11.23232","393","FI","false","393"
"0","43.683728869766426","10.583211","9641","PI","false","9641"
"0","43.874622","10.333736","14809","LU","false","14809"
"0","44.01543","10.135191","7229","MS","false","7229"
"0","44.004936","10.109794","7174","MS","false","7174"
"1","43.9556","10.23353","14492","LU","false","14492"
"0","44.02455","10.136852","4163","MS","false","4163"
"0","43.938267","10.192939","14644","LU","false","14644"
"0","43.901634","10.227909","14664","LU","false","14664"
"0","44.006454","10.314115","14706","LU","false","14706"
"0","44.03681","10.143558","4164","MS","false","4164"
"0","44.038624","10.143523","4395","MS","false","4395"
"0","44.03662","10.13571","4650","MS","false","4650"
"0","43.86735","10.254394","13956","LU","false","13956"
"0","43.90382","10.23276","14878","LU","false","14878"
"1","44.20812","9.946715","4410","MS","false","4410"
"0","44.023685","10.143276","7213","MS","false","7213"
"0","43.957535","10.232138","15584","LU","false","15584"
"0","44.085682","10.155284","7160","MS","false","7160"
"0","43.249565","10.597462","10565","LI","false","10565"
"0","44.000652","10.11009","4305","MS","false","4305"
"0","43.864548","10.251187","14815","LU","false","14815"
"1","43.959377","10.230278","14629","LU","false","14629"
"0","43.966515","10.160883","15107","LU","false","15107"
"0","44.03548","10.143648","4619","MS","false","4619"
"0","43.95537","10.173778","15430","LU","false","15430"
"0","44.24213","9.94582","7223","MS","false","7223"
"0","44.052494","10.069444","7241","MS","false","7241"
"0","44.041256","10.027735","7211","MS","false","7211"
"0","43.862656","10.244186","14467","LU","false","14467"
"0","44.011234","10.092972","7151","MS","false","7151"
"0","44.008762","10.096969","4401","MS","false","4401"
"0","43.96699","10.157538","14647","LU","false","14647"
"0","43.987022","10.148106","4638","MS","false","4638"
"0","44.08757","10.155044","4465","MS","false","4465"
"0","44.04395","10.02192","3765","MS","false","3765"
"0","44.009247","10.099078","3775","MS","false","3775"
"0","43.7786225925926","10.66048","11178","PI","false","11178"
"0","44.11378","10.28787","15572","LU","false","15572"
"0","44.079903","10.097904","4675","MS","false","4675"
"0","44.014362","10.168792","4236","MS","false","4236"
"0","44.22928","9.940181","4298","MS","false","4298"
"0","43.9982","10.113986","7193","MS","false","7193"
"0","44.086254","10.155547","7203","MS","false","7203"
"0","43.821953","10.906181","697","PT","false","697"
"0","44.038387","10.031685","4378","MS","false","4378"
"0","44.03766","10.045142","4387","MS","false","4387"
"0","44.03789","10.034665","4271","MS","false","4271"
"1","44.032017","10.057358","7187","MS","false","7187"
"0","43.549763","10.318583","10413","LI","false","10413"
"0","43.774685","11.252336","2364","FI","false","2364"
"0","43.781944","11.282093","188","FI","false","188"
"0","43.772278","11.220649","2487","FI","false","2487"
"0","43.023445","10.608956","3620","LI","false","3620"
"0","43.17725","10.541657","10732","LI","false","10732"
"0","44.05576","10.141383","7205","MS","false","7205"
"0","44.02901","10.07004","4642","MS","false","4642"
"0","43.890854","10.956948","616","PT","false","616"
"0","43.871","10.244722","14458","LU","false","14458"
"0","43.845108","10.50931","14486","LU","false","14486"
"0","43.92743","10.200478","14140","LU","false","14140"
"0","43.92693","10.200953","13938","LU","false","13938"
"0","44.050728","10.058042","7136","MS","false","7136"
"0","43.938168","10.30391","14166","LU","false","14166"
"0","43.55418","10.308272","10686","LI","false","10686"
"0","44.057926","10.090288","4382","MS","false","4382"
"0","44.039146","10.119193","4325","MS","false","4325"
"0","44.079006","10.097548","7220","MS","false","7220"
"0","44.00392","10.10513","3785","MS","false","3785"
"0","44.042088","10.10088","4603","MS","false","4603"
"0","43.956173","10.323534","14771","LU","false","14771"
"0","44.01853","10.177415","4649","MS","false","4649"
"0","44.047466","10.098472","7150","MS","false","7150"
"0","42.744896","10.378644","10428","LI","false","10428"
"0","42.78581041360771","10.30686063356342","11630","LI","false","11630"
"1","43.89385933333333","11.322420666666666","3","PO","false","3"
"1","43.896214","11.321173","6530","FI","false","6530"
"0","44.077423","11.281196","1450","FI","false","1450"
"0","43.962215","11.325409","2429","FI","false","2429"
"1","43.54746","11.31055","2299","FI","false","2299"
"0","43.71658","10.402676","8556","PI","false","8556"
"1","43.409515","11.027233","4076","SI","false","4076"
"0","43.7847","11.264234","5786","FI","false","5786"
"0","43.77488717494221","11.252651096241229","6414","FI","false","6414"
"0","44.055527","10.906525","2797","PT","false","2797"
"1","43.767532","11.252508","2197","FI","false","2197"
"0","44.07936","10.09789","4437","MS","false","4437"
"0","44.05436","10.0665","4609","MS","false","4609"
"0","44.043625","10.022643","4386","MS","false","4386"
"0","44.11271","10.00177","4474","MS","false","4474"
"1","43.787235","11.238654","1992","FI","false","1992"
"0","43.574158","11.869467","12672","AR","false","12672"
"0","43.83531","10.918664","382","PT","false","382"
"0","43.814724","10.674028","14799","LU","false","14799"
"0","43.67948951664688","10.849977","8178","PI","false","8178"
"0","43.926823","10.92025","3596","PT","false","3596"
"0","44.33145","9.929964","7244","MS","false","7244"
"0","43.75639","11.187838","330","FI","false","330"
"0","43.92968","10.90033","3342","PT","false","3342"
"0","43.95798","10.89583","2827","PT","false","2827"
"0","43.97005","10.889233","3610","PT","false","3610"
"0","43.93093","10.91612","3104","PT","false","3104"
"0","43.98892","10.892639","3241","PT","false","3241"
"0","43.939035424242455","10.915023473432411","3242","PT","false","3242"
"0","43.839","10.71958","3511","PT","false","3511"
"0","43.82551","10.877319","688","PT","false","688"
"0","44.055214","10.790975","3244","PT","false","3244"
"0","43.90342","11.00359","2849","PT","false","2849"
"0","43.835182","10.918986","506","PT","false","506"
"0","43.87895871428571","10.704713428571427","3247","PT","false","3247"
"0","43.93724","11.01689","3116","PT","false","3116"
"0","43.928417","10.6906","421","PT","false","421"
"0","43.775898","11.26","1762","FI","false","1762"
"0","43.878323","11.073542","9399","PO","false","9399"
"0","43.89995","10.6921","2843","PT","false","2843"
"0","44.018806","11.066367","9395","PO","false","9395"
"0","43.91739","10.87704","2786","PT","false","2786"
"0","43.943363","10.920042","2915","PT","false","2915"
"0","43.964523","11.053333","556","PT","false","556"
"0","43.9337","10.93244","3345","PT","false","3345"
"0","43.86931","10.91876","3346","PT","false","3346"
"0","43.99265","10.85414","2770","PT","false","2770"
"0","43.97289","10.81595","3258","PT","false","3258"
"0","43.86521","10.81455","3093","PT","false","3093"
"0","43.87543","11.09402","9020","PO","false","9020"
"0","43.764458","11.263132","6246","FI","false","6246"
"0","43.93667","10.91391","2775","PT","false","2775"
"0","43.86297","11.017576","2758","PT","false","2758"
"0","43.86024","10.94793","2720","PT","false","2720"
"0","43.93337","10.9236","3259","PT","false","3259"
"0","43.932243","10.92818","2890","PT","false","2890"
"0","43.94382","10.922669","378","PT","false","378"
"0","43.93694","10.91147","2710","PT","false","2710"
"0","43.85725","11.15179","5842","FI","false","5842"
"0","43.84285","10.504","14357","LU","false","14357"
"0","43.84827","10.97808","3211","PT","false","3211"
"0","43.939035424242455","10.915023473432411","3283","PT","false","3283"
"0","44.136387","10.021839","4616","MS","false","4616"
"0","44.28333","10.19813","3842","MS","false","3842"
"0","43.86028","10.9986","3513","PT","false","3513"
"0","43.93375","10.91683","3207","PT","false","3207"
"0","43.99884","10.760657","3151","PT","false","3151"
"0","43.87822","10.97563","3209","PT","false","3209"
"0","44.00414","10.8972","3282","PT","false","3282"
"0","43.9383","10.92431","3607","PT","false","3607"
"0","43.9488","10.90558","3285","PT","false","3285"
"0","43.81047","11.23381","7930","FI","false","7930"
"0","43.96191","10.89456","2962","PT","false","2962"
"0","43.81367","11.01854","9037","PO","false","9037"
"0","43.93171","10.90216","2922","PT","false","2922"
"0","43.93901","10.90042","3213","PT","false","3213"
"0","43.55031","10.31127","10529","LI","false","10529"
"0","43.868828","10.242198","14068","LU","false","14068"
"0","43.764156","11.26133","2603","FI","false","2603"
"0","43.269554","10.595186","10089","LI","false","10089"
"0","43.55675","10.31671","10802","LI","false","10802"
"0","43.24602","10.531528","10521","LI","false","10521"
"0","43.932503","10.917187","432","PT","false","432"
"0","43.07773","10.678415","9949","LI","false","9949"
"1","43.769913","11.263188","2265","FI","false","2265"
"0","44.039726","10.119932","4340","MS","false","4340"
"0","43.45459","11.226421","5708","SI","false","5708"
"0","42.84141","10.775602","4","GR","false","4"
"0","42.806576","10.75275","12968","GR","false","12968"
"0","42.80514","10.766602","12970","GR","false","12970"
"0","43.908463","11.216851","294","FI","false","294"
"0","43.7682","11.19464","2122","FI","false","2122"
"0","43.771397","11.262367","7654","FI","false","7654"
"0","43.860603","11.138564","8976","PO","false","8976"
"0","43.80391","11.24095","5823","FI","false","5823"
"0","43.888847","11.094486","9035","PO","false","9035"
"0","43.79658","11.24039","1538","FI","false","1538"
"0","43.8034","11.23607","7031","FI","false","7031"
"0","43.800255","11.237026","6417","FI","false","6417"
"0","43.79779","11.24249","7881","FI","false","7881"
"0","43.796665","11.240258","6130","FI","false","6130"
"0","43.79554","11.240556","5","FI","false","5"
"0","43.796024","11.241108","6788","FI","false","6788"
"0","43.813847","11.039921","9165","PO","false","9165"
"0","43.79659","11.24043","6415","FI","false","6415"
"0","43.623727","10.677542","8912","PI","false","8912"
"0","43.755863","11.196611","880","FI","false","880"
"1","43.77636","11.252942","1971","FI","false","1971"
"0","43.326023","11.326622","5490","SI","false","5490"
"0","43.469437","11.04098","3706","SI","false","3706"
"0","43.467037","11.044434","4140","SI","false","4140"
"0","43.76824","11.25987","1471","FI","false","1471"
"0","43.76959","11.254255","7316","FI","false","7316"
"0","43.83302","11.196215","1361","FI","false","1361"
"0","43.79532","11.230207","1036","FI","false","1036"
"0","43.90597","10.60425","14225","LU","false","14225"
"0","42.74618","10.233995","10718","LI","false","10718"
"0","42.744987","10.37858","10749","LI","false","10749"
"0","42.74275","10.236","10993","LI","false","10993"
"0","43.77892","11.25522","1941","FI","false","1941"
"0","43.806458","11.178072","6873","FI","false","6873"
"0","43.7782","11.253332","623","FI","false","623"
"0","43.794044","11.191506","1721","FI","false","1721"
"0","43.76716","11.250648","766","FI","false","766"
"0","43.770943","11.256178","2366","FI","false","2366"
"0","43.795887","11.247681","296","FI","false","296"
"0","43.80071","11.19183","6183","FI","false","6183"
"0","43.774105","11.245717","2291","FI","false","2291"
"0","43.784164","11.23116","6797","FI","false","6797"
"0","43.78702","11.27058","2244","FI","false","2244"
"0","43.8415","11.265092","1625","FI","false","1625"
"0","43.83663","11.289465","6226","FI","false","6226"
"0","43.763504","11.261785","674","FI","false","674"
"0","43.762684","11.301411","5908","FI","false","5908"
"0","43.954018","11.388286","559","FI","false","559"
"0","43.52059","11.823919","12879","AR","false","12879"
"0","43.73354","11.020967","6835","FI","false","6835"
"0","43.72969","11.020617","6179","FI","false","6179"
"0","43.720596","10.947794","861","FI","false","861"
"0","43.72947","11.01697","7345","FI","false","7345"
"0","43.790997","11.147892","2774","FI","false","2774"
"1","43.706444","10.989851","2574","FI","false","2574"
"0","43.71967","10.950531","365","FI","false","365"
"0","43.780537","11.279596","6775","FI","false","6775"
"0","43.76242","10.946944","1137","FI","false","1137"
"0","43.76616","11.03771","5937","FI","false","5937"
"0","43.72134","10.947416","2001","FI","false","2001"
"0","43.74277","10.97766","5973","FI","false","5973"
"0","43.7193","10.925358","6813","FI","false","6813"
"0","43.69654","11.049996","133","FI","false","133"
"0","43.72778","11.002222","6403","FI","false","6403"
"0","43.72128","10.95777","7861","FI","false","7861"
"0","43.31115","10.519378","10102","LI","false","10102"
"1","43.71945","10.946032","1853","FI","false","1853"
"0","43.93393","10.91604","692","PT","false","692"
"0","43.835644","11.211687","3237","FI","false","3237"
"0","43.646736","11.159975","6804","FI","false","6804"
"0","43.346447","10.504386","10080","LI","false","10080"
"0","43.774113","11.254828","3424","FI","false","3424"
"0","43.60025","10.291043","8732","PI","false","8732"
"0","43.788406","11.020448","8970","PO","false","8970"
"0","43.30551","10.502231","10635","LI","false","10635"
"0","43.71656","10.948777","6763","FI","false","6763"
"0","43.729195","10.931354","247","FI","false","247"
"0","43.788235","11.029017","9318","PO","false","9318"
"0","42.9284","10.54665","11324","LI","false","11324"
"0","42.756207","10.402124","10174","LI","false","10174"
"0","43.731842","11.019811","2176","FI","false","2176"
"0","43.67374","11.03721","7927","FI","false","7927"
"0","43.82063","11.20863","7364","FI","false","7364"
"0","43.745495","10.99087","1886","FI","false","1886"
"0","43.72266","10.948031","6458","FI","false","6458"
"0","43.29571","10.496667","10661","LI","false","10661"
"0","43.300175","10.494098","10878","LI","false","10878"
"0","43.675407","10.476696","8001","PI","false","8001"
"0","43.848263","11.172306","7309","FI","false","7309"
"0","43.95195","10.176344","14126","LU","false","14126"
"0","43.77105","11.269444","3256","FI","false","3256"
"0","43.096607","10.538893","10696","LI","false","10696"
"0","42.39334","11.204453","300","GR","false","300"
"1","42.434486","11.122261","13003","GR","false","13003"
"0","42.393448","11.204162","13815","GR","false","13815"
"0","43.811","11.165089","2006","FI","false","2006"
"0","43.84819","11.160752","920","FI","false","920"
"0","43.83801","11.19293","6571","FI","false","6571"
"0","43.056057","11.609608","3751","SI","false","3751"
"0","43.86216","11.039594","9159","PO","false","9159"
"0","43.984646","11.233333","6805","FI","false","6805"
"0","42.714813","10.984074","13183","GR","false","13183"
"0","42.71198","10.98621","7","GR","false","7"
"1","43.273323","11.745383","12802","AR","false","12802"
"0","43.246944","10.529444","10670","LI","false","10670"
"0","43.2348","10.527945","10399","LI","false","10399"
"0","43.25077","10.529167","10615","LI","false","10615"
"1","43.04881","11.819053","3708","SI","false","3708"
"0","42.439518","11.1156","13109","GR","false","13109"
"0","43.175243","11.386256","5397","SI","false","5397"
"0","43.11803","11.555077","5341","SI","false","5341"
"0","43.88301","10.59686","15544","LU","false","15544"
